Feature	Gain	Cover	Frequency
rf_014_017	0.0480833260406132	0.00458173499338598	0.0004016663415082
rf_006_015	0.0357918837502883	0.00506330751016559	0.00121073711511757
ctrx_quarter_normalizado_lag1	0.026330832120543	0.00155849332262192	0.00118778475274568
rf_005_020	0.0253133931917797	0.00224762660614131	0.00414290140812743
mv_status07_rank_delta2	0.0217795309369892	0.00142902940488449	0.00048199960980984
Visa_mlimitecompra_rank_lag2	0.0195032400939861	0.00226569278213034	0.00340842581222672
rf_019_023	0.0149878974028186	0.00164753850511577	0.0016296177284047
rf_012_013	0.0146439404166841	0.00184541296977791	0.000906618313689937
rf_011_015	0.0145581935364466	0.000618041634014676	0.000768904139458554
rf_006_022	0.0142247163191515	0.00138809177276916	0.000992689672584551
mcuentas_saldo_rank	0.014058638513699	0.00447573342267191	0.001560760641289
rf_004_026	0.0114572834756563	0.0011168851426838	0.000751689867679631
mextraccion_autoservicio_rank_lag1	0.0108311717587192	0.00151561599272507	0.0012049990245246
vm_status02	0.0104098274380979	0.000979871968670064	0.000550856696925531
rf_001_025	0.00897449377927495	0.00233439819792238	0.0043724250318464
Visa_cconsumos	0.00881847321065463	0.00272981420402014	0.00471671046742486
ctrx_quarter	0.00854060363639066	0.00177554755123618	0.00112466575622296
mcaja_ahorro_rank_delta1	0.00816341596540934	0.00362415808309987	0.00189356989568151
ctrx_quarter_normalizado_tend6	0.00799119414606815	0.00297693858366742	0.00179028426500798
Visa_mconsumospesos_rank_lag2	0.00759770841601199	0.00324041391506667	0.00635780437701551
vm_Fvencimiento_delta2	0.00736005142173803	0.000765549870072004	0.000688570871156914
Visa_mconsumospesos_rank	0.00675924867480621	0.00293113568076177	0.00543970988213962
vm_status05_delta1	0.0064763919389412	0.000776307617268665	0.000172142717789228
mpayroll_rank	0.00580047459702229	0.0022929040601161	0.000533642425146608
cproductos_delta2	0.00579730030915745	0.00177447172934169	0.000338547344985483
ctarjeta_debito_transacciones_lag2	0.00510596741065684	0.000974771007210134	0.000527904334553634
mcaja_ahorro_rank_lag1	0.00510025415185762	0.00322128523096722	0.00197390316398315
Visa_msaldototal_rank_lag2	0.00496586410660172	0.00221976373898307	0.00309856892020611
rf_018_016	0.00488307216683643	0.000666674738156997	0.000734475595900708
rf_018_026	0.0046467466428374	0.00194599850361448	0.00418306804227825
mprestamos_personales_rank	0.00432556349903453	0.00342974651270846	0.000809070773609374
rf_010_026	0.00419411083140227	0.00109764724886343	0.000510690062774711
Master_status	0.00414745370643402	0.00241829747183094	0.00190504607686746
mrentabilidad_annual_rank_delta2	0.00413279165961685	0.0043955275444729	0.00924980203587454
mprestamos_personales_rank_delta1	0.00409113347899019	0.00439406491521792	0.000860713588946142
mprestamos_personales_rank_delta2	0.00395619187101452	0.00417813423369656	0.000895142132503988
ctrx_quarter_delta2	0.00375047218558897	0.00142210044514643	0.00168699863433444
mrentabilidad_annual_rank_lag2	0.00363249877690918	0.00491706012615148	0.00741935113671575
Visa_mpagospesos_rank_lag1	0.00356689355618812	0.00274832749252153	0.00516428153367685
mactivos_margen_rank_lag2	0.0035401201755331	0.00356742144469038	0.00496918645351573
vm_status04_delta2	0.00353304014491169	0.000382586392983602	0.000109023721266511
