envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	69000	117000	-3000	-3000	117000	117000	
2	66000	114000	-6000	-6000	114000	114000	
3	111000	111000	-9000	111000	231000	111000	
4	108000	108000	-12000	108000	228000	108000	
5	105000	105000	-15000	105000	225000	105000	
6	102000	102000	-18000	102000	222000	102000	
7	99000	99000	-21000	99000	219000	99000	
8	120000	96000	-24000	216000	216000	96000	
9	141000	213000	-27000	213000	213000	93000	
10	162000	330000	-30000	210000	210000	90000	
11	183000	327000	87000	207000	207000	87000	
12	204000	324000	84000	204000	324000	84000	
13	201000	321000	81000	201000	321000	81000	
14	198000	318000	78000	198000	318000	78000	
15	195000	315000	75000	195000	315000	75000	
16	192000	312000	72000	192000	312000	72000	
17	237000	309000	189000	189000	309000	189000	
18	234000	306000	186000	186000	306000	186000	
19	231000	303000	183000	183000	303000	183000	
20	228000	3e+05	180000	180000	3e+05	180000	
21	225000	297000	177000	177000	297000	177000	
22	222000	294000	174000	174000	294000	174000	
23	243000	411000	171000	171000	291000	171000	
24	240000	408000	168000	168000	288000	168000	
25	237000	405000	165000	165000	285000	165000	
26	234000	402000	162000	162000	282000	162000	
27	231000	399000	159000	159000	279000	159000	
28	228000	396000	156000	156000	276000	156000	
29	225000	393000	153000	153000	273000	153000	
30	222000	390000	150000	150000	270000	150000	
31	243000	387000	267000	147000	267000	147000	
32	288000	384000	384000	144000	384000	144000	
33	285000	381000	381000	141000	381000	141000	
34	282000	378000	378000	138000	378000	138000	
35	303000	375000	495000	135000	375000	135000	
36	3e+05	372000	492000	132000	372000	132000	
37	297000	369000	489000	129000	369000	129000	
38	294000	366000	486000	126000	366000	126000	
39	291000	363000	483000	123000	363000	123000	
40	288000	360000	480000	120000	360000	120000	
41	309000	477000	477000	117000	357000	117000	
42	306000	474000	474000	114000	354000	114000	
43	303000	471000	471000	111000	351000	111000	
44	3e+05	468000	468000	108000	348000	108000	
45	297000	465000	465000	105000	345000	105000	
46	294000	462000	462000	102000	342000	102000	
