Feature	Gain	Cover	Frequency
rf_006_015	0.0491436020920801	0.00417834889011642	0.000504052467279549
rf_005_020	0.0374635799236178	0.00221615056389803	0.00376320989775754
mcuentas_saldo_rank	0.0255500176708958	0.00345702890377502	0.00158089182919495
mextraccion_autoservicio_rank_lag1	0.0220737256955516	0.00103443652112781	0.000824813128275625
mtarjeta_visa_consumo_rank	0.0216654957374077	0.00151506511229265	0.00158089182919495
Master_Fvencimiento_lag1	0.0162530147538161	0.00288835229890735	0.00567059025689492
rf_006_022	0.0151527383747771	0.00208185865242962	0.000836268866168342
mpasivos_margen_rank	0.0142554741966528	0.00344888270551091	0.00334507546467337
rf_015_016	0.0128456803786711	0.000685711530849152	0.000733167225133889
rf_019_023	0.0127571802577196	0.00173028716589465	0.00168972133917576
rf_010_023	0.0112738350568844	0.00140530270672515	0.00152934100867772
ctrx_quarter_normalizado_delta2	0.0106042887428262	0.00316729456933348	0.00288111808001833
rf_004_026	0.0102200869733894	0.000973098064866805	0.000784718045651116
rf_002_024	0.00982308379968578	0.000485756756326797	0.000773262307758399
Master_Fvencimiento	0.0097517281026167	0.00117568134364403	0.00212503937909901
rf_010_026	0.0094172619583903	0.00117031729887824	0.00088209181773921
Master_status	0.00932604692133102	0.00201834322234753	0.00136896067817968
ctrx_quarter_lag2	0.0092778818723175	0.00267973910936548	0.0032305180857462
vm_Finiciomora_lag1	0.00849111864782217	0.0024588878799029	0.000578514763582209
rf_012_022	0.00706871833085588	0.0017653943476353	0.00373457055302575
mprestamos_personales_rank_delta2	0.00658608928935036	0.00480137389711703	0.00101956067245181
Visa_mpagospesos_rank_delta2	0.00575896358088089	0.00343041251969739	0.006294927972048
mcaja_ahorro_dolares_rank_lag2	0.00564930507068571	0.000808946063070278	0.000544147549904058
rf_001_025	0.00538109149517287	0.00208746980916133	0.00443337056448148
mcuenta_corriente_rank_tend6	0.0053043087394172	0.00321641892349461	0.00212503937909901
vm_msaldototal_rank	0.00514537354770789	0.0017316505694707	0.00193029183492282
mcomisiones_mantenimiento_rank_tend6	0.00509013627950425	0.00290947934608659	0.00171836068390755
Visa_mpagominimo_rank	0.00489442226742061	0.00316281335666138	0.00398086891771916
vm_status01_delta1	0.00460287455528187	0.000894140004591076	0.000366583612566944
vmr_Visa_mlimitecompra_delta1	0.00432451870350426	0.00154896272383778	0.000962281982988229
rf_002_020	0.00431583538392559	0.00117437894205318	0.000429590170976888
cdescubierto_preacordado_tend6	0.00429341105221889	0.00195687150344874	0.000211931151015265
Visa_mconsumosdolares_rank_tend6	0.00420631846758117	0.00248983043322841	0.00406105908296818
mrentabilidad_annual_rank_lag2	0.00418186212093068	0.00541794387343803	0.00859753128848412
rf_011_018	0.00417797934998437	0.00033533780343107	0.000206203282068906
mrentabilidad_rank_delta1	0.00404835503348022	0.00379350162296694	0.0070681902798064
mcuenta_corriente_rank_lag1	0.00380569331860122	0.00139051168505906	0.000704527880402096
Visa_mconsumospesos_rank	0.00379655509387647	0.00341923976541471	0.00553312140218232
mprestamos_personales_rank_lag2	0.00363301434463934	0.00293109617160235	0.0010081049345591
mprestamos_personales_rank_lag1	0.00360299249234076	0.00277821136010699	0.000853452473007418
mpagomiscuentas_rank	0.00359592522582904	0.00124827026003691	0.000870636079846493
matm_rank	0.00350172018975429	0.0010762634437581	0.000641521321992153
mcomisiones_rank_delta1	0.0034801980683101	0.00345392956099791	0.00611163616576453
Master_mfinanciacion_limite_rank	0.00345684332168448	0.00379550713885809	0.00624910502047713
mcuentas_saldo_rank_lag1	0.00339889117469155	0.00268010643654156	0.00184437380072744
vm_status01	0.00339652084996038	0.00151085634358808	0.000801901652490191
rf_004_015	0.00330678802711406	0.000268033726552824	0.000286393447317925
Visa_mpagospesos_rank	0.00330530158560309	0.00326132075128052	0.00620328206890626
ctrx_quarter_normalizado_tend6	0.00318745962177293	0.00292304277842828	0.00268637053584214
mprestamos_personales_rank_delta1	0.00317162852513665	0.00465848499349907	0.000905003293524644
