Feature	Gain	Cover	Frequency
rf_012_022	0.0376296779231305	0.00237362997957201	0.0051775605313605
rf_016_015	0.0298069532990374	0.00176218797497705	0.00199007212606039
cproductos	0.0266721637354645	0.000993139068663926	0.000106811780777252
rf_019_024	0.0184144982328397	0.00153514486235093	0.0013379580960519
rf_011_015	0.0178464498908172	0.000508038150278667	0.000933197663632837
rf_004_015	0.0177565668468431	0.00120130409270749	0.000163028507502122
rf_010_023	0.0171134273812695	0.00305757467487625	0.00417128112298533
mcuentas_saldo_rank	0.013237234510798	0.00338477805492843	0.00150098660355402
rf_001_025	0.0127747645178743	0.00201906166469493	0.00316500171461017
cdescubierto_preacordado_delta2	0.0126900363926217	0.00147855928884107	0.000224866906899479
rf_018_025	0.0126293545011172	0.000962041593584869	0.00192823372666303
mprestamos_personales_rank	0.0106146173956044	0.004715616688812	0.000961306026995272
rf_006_022	0.01053252016787	0.00173197726935914	0.000815142537510611
mpayroll_sobre_edad_rank_delta2	0.00982612138027907	0.000629729102067065	0.000224866906899479
ctrx_quarter_normalizado_lag1	0.00973273423394563	0.000508391207565942	0.000528437231213775
mcomisiones_mantenimiento_rank_delta2	0.00885351395112256	0.00122416332446913	0.000477842177161393
mpayroll_sobre_edad_rank	0.00809781885456232	0.000652182316662903	0.000179893525519583
rf_005_020	0.0078834517271676	0.00174332523447579	0.00341797698487208
rf_010_017	0.00781103382399004	0.00108723915775729	0.000157406834829635
ctrx_quarter	0.00764164707903084	0.000663656100054064	0.000326057015004244
rf_007_025	0.00747062351118442	0.0013220061087448	0.000815142537510611
mcaja_ahorro_rank_delta2	0.00738454568528333	0.00352753680631565	0.00294013480771069
vm_status03_tend6	0.00690787529035336	0.000394551506351546	6.74600720698437e-05
Visa_mpagominimo_rank	0.00677656409453263	0.00316256220952119	0.00424998454040015
Visa_msaldopesos_rank	0.00664052881543686	0.00260103247382041	0.00351916709297684
mpasivos_margen_rank_delta2	0.00652144617871337	0.0041633164716695	0.00738687789164788
vm_status04_tend6	0.00634149327243435	0.00142356150904849	0.00029794865164181
vm_status02	0.00595386395559632	0.00276694142779702	0.00161342005700376
ctarjeta_visa_transacciones_lag2	0.00591393623995891	0.00159327146549115	0.00206315387080272
rf_007_015	0.00578395635653165	0.00154157192924014	0.000505950540523828
vm_Fvencimiento_lag2	0.00545411288515182	0.00247229382192558	0.0037552773452213
Visa_mpagospesos_rank_lag1	0.00539792161279509	0.00259925204497217	0.00440739137522979
rf_012_013	0.00528034817758454	0.000828006542498652	0.000697087411388385
mcomisiones_mantenimiento_rank_delta1	0.0050626348709879	0.00232372971663087	0.00176520521916091
mprestamos_personales_rank_delta1	0.00493002900548871	0.00410978249263589	0.000876980936907968
rf_004_026	0.00473185233433365	0.000914354025218933	0.000691465738715898
foto_mes	0.00470789447858534	0.00492313426548625	0.0015515816576064
Visa_mconsumospesos_rank_lag1	0.00464398580420393	0.00267708159965732	0.0047053400268716
rf_015_014	0.00429913725362158	0.00109415610352286	0.00160217671165879
mcuentas_saldo_rank_tend6	0.00414525106041181	0.00359184827488121	0.00300759487978053
mactivos_margen_rank	0.00407143739789493	0.00406305192984185	0.00279397131822603
mcuenta_debitos_automaticos_rank_lag1	0.00406529772350658	0.00164577879414174	0.000803899192165637
Master_delinquency_tend6	0.00401762748958422	0.00142167189544098	0.00111309118915242
mcomisiones_rank_delta2	0.00377499142861252	0.0042945592517235	0.00881478275045957
mextraccion_autoservicio_rank	0.00371279724269477	0.000960252526620515	0.000584653957938645
mcomisiones_otras_rank_delta2	0.00367011294501688	0.00432422814693368	0.00921392151020615
mtarjeta_visa_consumo_rank_lag1	0.00360052384834052	0.00118192884969244	0.00145039154950164
rf_013_015	0.00343704637627536	0.00106411605211546	0.00124238966061962
mrentabilidad_rank_delta1	0.00333025841239994	0.00378044940562399	0.00722947105681825
mcomisiones_rank_delta1	0.00318851579378439	0.00341603595216379	0.00643681520999758
mactivos_margen_rank_lag2	0.00311381645972646	0.00395809982175642	0.00624005666646054
vmr_mpagospesos	0.00310601987506967	0.000633852902705334	0.000584653957938645
mrentabilidad_rank_delta2	0.00302174349079883	0.00402847010609469	0.00789282843217171
mrentabilidad_annual_rank_lag2	0.00293259531383869	0.0037281324754493	0.00553734758239967
mrentabilidad_annual_rank	0.00289895044254402	0.0034390221590905	0.00380587239927368
mcuenta_debitos_automaticos_rank	0.00280892439034684	0.00129457643946644	0.000702709084060871
ctrx_quarter_normalizado_delta1	0.0028049216452272	0.00186729477218339	0.0015965550389863
Visa_mpagospesos_rank	0.00279120147188204	0.00355194958783428	0.00602643310490603
mpayroll_rank_lag1	0.00277971745704523	0.000673877459444142	0.000264218615606888
mcomisiones_rank_lag1	0.00274338201820642	0.00301657449948203	0.00567226772653936
Visa_fechaalta	0.00269183335735021	0.00326070228895962	0.00453668984669699
mpayroll_sobre_edad_rank_lag1	0.00269045802074136	0.00152325097343793	0.000595897303283619
Visa_mconsumospesos_rank	0.00265389743310406	0.00322125694875634	0.00498080198782346
rf_003_017	0.00263949269806021	0.000373728042036944	0.000477842177161393
rf_018_016	0.00254342067801842	0.0009984342595474	0.000950062681650298
mcomisiones_otras_rank_tend6	0.00249705748043198	0.00298419336435703	0.00382835908996363
rf_006_015	0.00246876205841698	0.000899032218188017	0.000528437231213775
mpasivos_margen_rank_delta1	0.00244137363880751	0.00330780673307085	0.0058690262700764
Visa_msaldopesos_rank_lag1	0.00239165158524459	0.0022624323849964	0.00391830585272342
mcomisiones_otras_rank	0.0023831453857846	0.00311055339786307	0.00445798642928217
vm_Finiciomora_tend6	0.0023508154307364	0.00218994221441374	0.000657735702680976
mcuenta_corriente_rank_lag2	0.00234216481633588	0.002906996860181	0.00251850935727416
