envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	93000	117000	-3000	117000	117000	117000	
2	138000	114000	114000	234000	114000	114000	
3	135000	111000	111000	231000	111000	111000	
4	132000	108000	108000	228000	108000	108000	
5	129000	105000	105000	225000	105000	105000	
6	126000	102000	102000	222000	102000	102000	
7	147000	99000	219000	219000	99000	99000	
8	144000	96000	216000	216000	96000	96000	
9	165000	93000	213000	213000	213000	93000	
10	234000	210000	210000	210000	330000	210000	
11	231000	207000	207000	207000	327000	207000	
12	228000	204000	204000	204000	324000	204000	
13	249000	201000	201000	321000	321000	201000	
14	270000	198000	198000	318000	318000	318000	
15	267000	195000	195000	315000	315000	315000	
16	264000	192000	192000	312000	312000	312000	
17	285000	189000	189000	429000	309000	309000	
18	282000	186000	186000	426000	306000	306000	
19	303000	303000	183000	423000	303000	303000	
20	3e+05	3e+05	180000	420000	3e+05	3e+05	
21	297000	297000	177000	417000	297000	297000	
22	294000	294000	174000	414000	294000	294000	
23	315000	291000	171000	531000	291000	291000	
24	312000	288000	168000	528000	288000	288000	
25	309000	285000	165000	525000	285000	285000	
26	306000	282000	162000	522000	282000	282000	
27	303000	279000	159000	519000	279000	279000	
28	348000	396000	156000	516000	396000	276000	
29	345000	393000	153000	513000	393000	273000	
30	366000	390000	270000	510000	390000	270000	
31	363000	387000	267000	507000	387000	267000	
32	360000	384000	264000	504000	384000	264000	
33	381000	381000	381000	501000	381000	261000	
34	378000	378000	378000	498000	378000	258000	
35	375000	375000	375000	495000	375000	255000	
36	372000	372000	372000	492000	372000	252000	
37	369000	369000	369000	489000	369000	249000	
38	390000	366000	366000	486000	366000	366000	
39	411000	363000	363000	603000	363000	363000	
40	408000	360000	360000	6e+05	360000	360000	
41	429000	357000	357000	717000	357000	357000	
42	450000	474000	354000	714000	354000	354000	
43	447000	471000	351000	711000	351000	351000	
44	444000	468000	348000	708000	348000	348000	
45	441000	465000	345000	705000	345000	345000	
46	438000	462000	342000	702000	342000	342000	
47	435000	459000	339000	699000	339000	339000	
48	432000	456000	336000	696000	336000	336000	
49	429000	453000	333000	693000	333000	333000	
50	426000	450000	330000	690000	330000	330000	
51	423000	447000	327000	687000	327000	327000	
52	420000	444000	324000	684000	324000	324000	
53	441000	441000	321000	681000	321000	441000	
54	438000	438000	318000	678000	318000	438000	
55	435000	435000	315000	675000	315000	435000	
56	432000	432000	312000	672000	312000	432000	
57	429000	429000	309000	669000	309000	429000	
58	450000	426000	306000	786000	306000	426000	
59	447000	423000	303000	783000	303000	423000	
60	444000	420000	3e+05	780000	3e+05	420000	
61	441000	417000	297000	777000	297000	417000	
62	438000	414000	294000	774000	294000	414000	
63	435000	411000	291000	771000	291000	411000	
64	432000	408000	288000	768000	288000	408000	
65	453000	405000	285000	765000	285000	525000	
66	450000	402000	282000	762000	282000	522000	
67	447000	399000	279000	759000	279000	519000	
68	468000	396000	276000	756000	396000	516000	
69	489000	513000	273000	753000	393000	513000	
70	510000	510000	270000	750000	390000	630000	
71	531000	507000	267000	747000	507000	627000	
72	552000	624000	264000	744000	504000	624000	
73	573000	741000	261000	741000	501000	621000	
74	570000	738000	258000	738000	498000	618000	
75	567000	735000	255000	735000	495000	615000	
76	588000	732000	372000	732000	492000	612000	
77	585000	729000	369000	729000	489000	609000	
78	606000	726000	366000	726000	606000	606000	
79	627000	723000	363000	723000	603000	723000	
80	624000	720000	360000	720000	6e+05	720000	
81	621000	717000	357000	717000	597000	717000	
82	618000	714000	354000	714000	594000	714000	
83	639000	831000	351000	711000	591000	711000	
84	660000	828000	348000	708000	588000	828000	
85	681000	825000	465000	705000	585000	825000	
86	702000	822000	462000	702000	702000	822000	
87	747000	939000	459000	699000	699000	939000	
88	768000	936000	456000	816000	696000	936000	
89	789000	933000	453000	933000	693000	933000	
90	786000	930000	450000	930000	690000	930000	
91	807000	927000	447000	927000	687000	1047000	
92	804000	924000	444000	924000	684000	1044000	
93	849000	921000	561000	921000	801000	1041000	
94	870000	918000	558000	918000	918000	1038000	
95	891000	915000	555000	915000	915000	1155000	
96	912000	912000	552000	1032000	912000	1152000	
97	933000	1029000	549000	1029000	909000	1149000	
98	930000	1026000	546000	1026000	906000	1146000	
99	927000	1023000	543000	1023000	903000	1143000	
100	924000	1020000	540000	1020000	9e+05	1140000	
101	945000	1017000	537000	1017000	1017000	1137000	
102	942000	1014000	534000	1014000	1014000	1134000	
103	939000	1011000	531000	1011000	1011000	1131000	
104	936000	1008000	528000	1008000	1008000	1128000	
105	933000	1005000	525000	1005000	1005000	1125000	
106	930000	1002000	522000	1002000	1002000	1122000	
107	927000	999000	519000	999000	999000	1119000	
108	948000	996000	636000	996000	996000	1116000	
109	945000	993000	633000	993000	993000	1113000	
110	966000	1110000	630000	990000	990000	1110000	
111	963000	1107000	627000	987000	987000	1107000	
112	984000	1104000	744000	984000	984000	1104000	
113	1005000	1101000	741000	981000	981000	1221000	
114	1026000	1098000	738000	1098000	978000	1218000	
115	1023000	1095000	735000	1095000	975000	1215000	
116	1020000	1092000	732000	1092000	972000	1212000	
117	1017000	1089000	729000	1089000	969000	1209000	
118	1062000	1086000	846000	1086000	966000	1326000	
119	1107000	1083000	963000	1083000	1083000	1323000	
120	1128000	1080000	1080000	1080000	1080000	1320000	
121	1125000	1077000	1077000	1077000	1077000	1317000	
122	1146000	1074000	1074000	1074000	1194000	1314000	
123	1143000	1071000	1071000	1071000	1191000	1311000	
