Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.0473767948290885	0.00103740077981384	0.00066556115830203
rf_018_026	0.0328745280145194	0.00198732667096829	0.0024986745180322
rf_017_015	0.0308012667635044	0.00126395119161936	0.00163006080296006
rf_012_022	0.0210422031523117	0.000950065441866317	0.00174286777894345
ctarjeta_visa_delta2	0.021037552842372	0.000815955851907273	0.000107166627184225
mcaja_ahorro_rank_lag1	0.018998482849431	0.00159249055916557	0.00113935045743229
mcaja_ahorro_rank	0.0137379124394058	0.00176274969297839	0.000970139993457195
vm_status06	0.0117778528762217	0.000542189307348522	0.000552754182318635
Visa_cconsumos_tend6	0.0117186521496067	0.00255840873166051	0.00449535799293828
mpayroll_rank_lag1	0.0113358837217045	0.00129214327503687	0.000411745462339391
mpasivos_margen_rank_lag1	0.0103895415741122	0.00203733762970151	0.00234074475165544
mcomisiones_mantenimiento_rank_delta2	0.00966752849537758	0.00303645920156231	0.000936297900662177
rf_012_013	0.00936295989681969	0.000926958811512304	0.000744526041490406
rf_002_024	0.00868316992222189	0.00105525787309595	0.00234638510045461
cdescubierto_preacordado	0.00855300900872837	0.00186692942861132	0.000586596275113653
Visa_mconsumototal_rank_delta1	0.00723058213317246	0.00151089493815981	0.0029273410267691
rf_013_015	0.00670517335344407	0.000922040589063564	0.000947578598260517
vm_status03_delta1	0.00656891885829288	0.00113558454195492	0.000146649068778413
mprestamos_personales_rank	0.00643610536244291	0.00268207030947773	0.000592236623912823
rf_001_025	0.00638586598463277	0.00161088070802663	0.00212077114848782
vm_fultimo_cierre_tend6	0.00594760895159394	0.00156563839282148	0.00164698184935756
rf_020_027	0.00592050704503165	0.00072933727506792	0.000784008483084594
mautoservicio_rank_delta2	0.00588241109415694	0.00170805747939387	0.00223921847327039
rf_003_015	0.00586387371259555	0.00133264066138121	0.000851692668674631
mcuentas_saldo_rank_delta2	0.00567574338960247	0.00285802587520857	0.00345189346509188
Visa_mpagospesos_rank	0.00558752096884648	0.00172447767361381	0.00316987602513339
rf_001_017	0.00506748638328208	0.00100480073581724	0.00213205184608616
mcuenta_corriente_rank_tend6	0.00479026157202071	0.00249964821190596	0.000964499644658026
vm_status06_delta2	0.00465679252394336	0.000935376188116844	0.000203052556770111
rf_002_015	0.00462855306847335	0.000642603220334274	0.000721964646293727
mprestamos_personales_rank_lag2	0.0042488712920947	0.00238607854248919	0.000800929529482103
rf_011_028	0.00408212138008831	0.000480021754815527	0.000383543718343542
