Feature	Gain	Cover	Frequency
rf_017_015	0.0784065268871577	0.00315687788814632	0.000549083539947243
mcaja_ahorro_rank_lag1	0.0289878876366518	0.0014369434839286	0.000967972013721428
Master_mfinanciacion_limite_rank_tend6	0.0258835814480018	0.00224247915130493	0.00305109307249035
rf_005_020	0.0159365495693553	0.0011639079410194	0.00245106363708408
Master_status	0.0155936565069578	0.00115731163658585	0.000900044153109398
Visa_mpagospesos_rank	0.0125034547760287	0.00222360887865357	0.00375867495386566
rf_019_023	0.0119174964116854	0.000711291145382264	0.000967972013721428
vm_status04_delta1	0.0102131450668795	0.00118584339009407	0.00018114096163208
rf_006_022	0.010112629994509	0.00102246924907987	0.00049813764448822
mcaja_ahorro_rank_lag2	0.00981589392619117	0.00126877132437953	0.00114345232030251
Visa_status	0.00932014032860995	0.00111190448322625	0.000583047470253258
ctarjeta_visa_transacciones_lag1	0.00895952581210856	0.000750959126486075	0.00052078026469223
mcuentas_saldo_rank	0.00848083196658441	0.00278116127324723	0.000809473672293358
cdescubierto_preacordado	0.0081673578993114	0.00139523688158141	0.000469834369233208
mtarjeta_visa_consumo_rank_lag1	0.00810557616147531	0.000823668042801382	0.000809473672293358
mcuenta_corriente_rank_delta2	0.00762051435359931	0.00201163729548564	0.00114345232030251
mprestamos_personales_rank	0.00744994112459373	0.00271795670625932	0.00054342288489624
rf_001_025	0.00739311125555193	0.0012303317239264	0.00214538826432995
rf_002_024	0.00616704178444344	0.00127621019521238	0.0031643061735104
vm_msaldopesos_rank_lag1	0.00596641006554827	0.00128398780983356	0.00148309162336266
mcaja_ahorro_rank	0.00594075306454002	0.000778675707480112	0.00054342288489624
rf_016_015	0.00575352602053926	0.000740170637685872	0.00147177031326065
mpayroll_sobre_edad_rank_lag1	0.00569517988101664	0.00141849252681909	0.000379263888417168
mextraccion_autoservicio_rank	0.00561267294125419	0.000832636218157225	0.000798152362191353
cdescubierto_preacordado_delta1	0.00554149981395453	0.000789914227726936	0.000101891790918045
ctarjeta_visa_transacciones	0.00537735924643347	0.00112359441483555	0.000486816334386215
rf_004_026	0.00534840466499305	0.000733413113083294	0.000464173714182205
mprestamos_personales_rank_delta2	0.00519015825316455	0.00318285963381699	0.000684939261171303
mprestamos_personales_rank_delta1	0.00460942239845919	0.00315994487890343	0.000537762229845238
vm_mpagospesos_rank	0.00441877702158596	0.000873309212421229	0.00101891790918045
mcuentas_saldo_rank_delta2	0.00428472736803793	0.00243229953299891	0.00323223403412243
rf_008_017	0.00418846235615154	0.00168626969593189	0.000469834369233208
mextraccion_autoservicio_rank_lag2	0.00408235229379232	0.000747823932110143	0.00099627528897644
ctarjeta_debito_transacciones_tend6	0.00400147035128483	0.00287174421407479	0.00083777694754837
mautoservicio_rank_lag2	0.00399382874995578	0.00159755273354188	0.00171517848045376
vm_status06_delta2	0.00368693353214295	0.000493645782637663	0.000175480306581078
vm_fultimo_cierre_delta2	0.00359586442235756	0.00059349981590517	0.000718903191477318
mprestamos_personales_rank_lag1	0.00357697652405956	0.00224953067464656	0.00061135074550827
cproductos_delta2	0.00354877477093524	0.00171256179489989	0.000266050787397118
mtransferencias_emitidas_rank_lag1	0.00349346903075294	0.00107674236180607	0.000934008083415413
rf_015_023	0.00345156181459248	0.00138232994085024	0.00332846516998947
ctrx_quarter_normalizado_tend6	0.00344629348808745	0.00137082504573546	0.00141516376275063
rf_017_021	0.00328630283917102	0.000920105966600532	0.0009057048081604
vm_status03_delta1	0.00325905082537824	0.00102981574221244	0.000141516376275063
mrentabilidad_annual_rank_lag2	0.00324254375129704	0.00281651990490673	0.00424549128825188
cdescubierto_preacordado_delta2	0.0031529640879991	0.00141279120003332	0.00020378358183609
vm_msaldopesos_rank	0.00311038925157494	0.000630988373240427	0.00092834742836441
rf_012_013	0.00309160412674697	0.000833843005680176	0.000718903191477318
rf_018_026	0.00307076898025856	0.00161164540530223	0.00393415526044674
mprestamos_personales_rank_lag2	0.00301198813695843	0.00219570204814956	0.000667957296018295
vmr_msaldopesos2	0.00299763353648426	0.000790486023970738	0.0009057048081604
vm_status01_lag2	0.00297493055868699	0.00145098931521188	0.000435870438927193
rf_006_015	0.0029677330559338	0.00171756705635294	0.00182273092642281
mrentabilidad_annual_rank_delta2	0.00295405895591859	0.00289630490195507	0.00644182544804085
rf_020_027	0.0028014690783671	0.000701763439701328	0.000645314675814285
mactivos_margen_rank	0.00270534220916221	0.00348787321897359	0.00236049315626804
mrentabilidad_rank_delta2	0.00268651679599232	0.00307225314288549	0.00583613535758358
rf_010_016	0.00267553744584699	0.000288936619951157	0.000288693407601128
mcomisiones_otras_rank_delta2	0.00265377646779192	0.00290590799192808	0.00602859762931767
mprestamos_personales_rank_tend6	0.00257833571897919	0.00258105936850568	0.000554744194998245
rf_002_020	0.00257255279418096	0.00097416958765679	0.000260390132346115
mcuentas_saldo_rank_lag1	0.00242223286427226	0.00211444907617176	0.00092834742836441
ctrx_quarter_normalizado_delta2	0.0024087994540853	0.00160632429644243	0.00204915712846291
rf_009_023	0.00239835148682609	0.00121447539193373	0.00127930804152657
rf_017_026	0.00236164720786488	0.000903253207590767	0.00120005887081253
rf_005_022	0.00236099643997571	0.00191560115718619	0.00024906882224411
mrentabilidad_annual_rank	0.0023526665740725	0.00267868327887397	0.002269922675452
mpayroll_sobre_edad_rank	0.00234535951757694	0.00131960594233573	0.000311336027805138
internet_lag1	0.00233145384441893	0.00177528249694874	0.000288693407601128
