envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	93000	117000	117000	-3000	117000	117000	
2	114000	114000	114000	114000	114000	114000	
3	135000	111000	231000	111000	111000	111000	
4	132000	108000	228000	108000	108000	108000	
5	177000	225000	225000	225000	105000	105000	
6	174000	222000	222000	222000	102000	102000	
7	195000	219000	219000	339000	99000	99000	
8	192000	216000	216000	336000	96000	96000	
9	189000	213000	213000	333000	93000	93000	
10	210000	210000	210000	330000	210000	90000	
11	255000	207000	327000	327000	207000	207000	
12	252000	204000	324000	324000	204000	204000	
13	249000	201000	321000	321000	201000	201000	
14	270000	198000	318000	438000	198000	198000	
15	267000	195000	315000	435000	195000	195000	
16	264000	192000	312000	432000	192000	192000	
17	261000	189000	309000	429000	189000	189000	
18	282000	186000	306000	426000	306000	186000	
19	279000	183000	303000	423000	303000	183000	
20	3e+05	180000	420000	420000	3e+05	180000	
21	297000	177000	417000	417000	297000	177000	
22	342000	174000	414000	534000	294000	294000	
23	339000	171000	411000	531000	291000	291000	
24	336000	168000	408000	528000	288000	288000	
25	357000	285000	405000	525000	285000	285000	
26	402000	282000	522000	522000	282000	402000	
27	399000	279000	519000	519000	279000	399000	
28	396000	276000	516000	516000	276000	396000	
29	417000	273000	513000	513000	273000	513000	
30	438000	390000	510000	510000	270000	510000	
31	435000	387000	507000	507000	267000	507000	
32	432000	384000	504000	504000	264000	504000	
33	453000	501000	501000	501000	261000	501000	
34	450000	498000	498000	498000	258000	498000	
35	447000	495000	495000	495000	255000	495000	
36	444000	492000	492000	492000	252000	492000	
37	441000	489000	489000	489000	249000	489000	
38	438000	486000	486000	486000	246000	486000	
39	435000	483000	483000	483000	243000	483000	
40	480000	480000	480000	6e+05	360000	480000	
41	477000	477000	477000	597000	357000	477000	
42	474000	474000	474000	594000	354000	474000	
43	471000	471000	471000	591000	351000	471000	
44	492000	468000	588000	588000	348000	468000	
45	489000	465000	585000	585000	345000	465000	
46	510000	462000	582000	582000	462000	462000	
47	507000	459000	579000	579000	459000	459000	
48	528000	456000	696000	576000	456000	456000	
49	549000	453000	813000	573000	453000	453000	
50	546000	450000	810000	570000	450000	450000	
51	567000	447000	807000	687000	447000	447000	
52	588000	444000	804000	684000	564000	444000	
53	585000	441000	801000	681000	561000	441000	
54	582000	438000	798000	678000	558000	438000	
55	579000	435000	795000	675000	555000	435000	
56	6e+05	432000	792000	672000	672000	432000	
57	621000	429000	789000	789000	669000	429000	
58	618000	426000	786000	786000	666000	426000	
59	615000	423000	783000	783000	663000	423000	
60	612000	420000	780000	780000	660000	420000	
61	657000	417000	777000	777000	777000	537000	
62	678000	534000	774000	774000	774000	534000	
63	699000	531000	771000	771000	771000	651000	
64	696000	528000	768000	768000	768000	648000	
65	717000	525000	765000	765000	765000	765000	
66	738000	522000	762000	762000	882000	762000	
67	735000	519000	759000	759000	879000	759000	
68	756000	516000	876000	756000	876000	756000	
69	777000	513000	993000	753000	873000	753000	
70	774000	510000	990000	750000	870000	750000	
71	771000	507000	987000	747000	867000	747000	
72	792000	624000	984000	744000	864000	744000	
73	813000	621000	981000	861000	861000	741000	
74	810000	618000	978000	858000	858000	738000	
75	807000	615000	975000	855000	855000	735000	
76	804000	612000	972000	852000	852000	732000	
77	849000	609000	1089000	849000	969000	729000	
78	846000	606000	1086000	846000	966000	726000	
79	843000	603000	1083000	843000	963000	723000	
80	888000	720000	1080000	960000	960000	720000	
81	885000	717000	1077000	957000	957000	717000	
82	882000	714000	1074000	954000	954000	714000	
83	879000	711000	1071000	951000	951000	711000	
84	876000	708000	1068000	948000	948000	708000	
85	897000	705000	1065000	945000	1065000	705000	
86	894000	702000	1062000	942000	1062000	702000	
87	939000	819000	1059000	939000	1059000	819000	
88	936000	816000	1056000	936000	1056000	816000	
89	933000	813000	1053000	933000	1053000	813000	
90	954000	810000	1170000	930000	1050000	810000	
91	951000	807000	1167000	927000	1047000	807000	
92	996000	804000	1284000	924000	1044000	924000	
93	1017000	801000	1401000	921000	1041000	921000	
94	1038000	798000	1518000	918000	1038000	918000	
95	1059000	795000	1515000	1035000	1035000	915000	
96	1080000	792000	1512000	1032000	1152000	912000	
97	1101000	789000	1629000	1029000	1149000	909000	
98	1098000	786000	1626000	1026000	1146000	906000	
99	1095000	783000	1623000	1023000	1143000	903000	
100	1116000	780000	1620000	1020000	1260000	9e+05	
101	1137000	897000	1617000	1017000	1257000	897000	
102	1182000	1014000	1614000	1014000	1254000	1014000	
103	1203000	1011000	1611000	1011000	1371000	1011000	
104	1200000	1008000	1608000	1008000	1368000	1008000	
105	1221000	1005000	1605000	1125000	1365000	1005000	
106	1218000	1002000	1602000	1122000	1362000	1002000	
107	1215000	999000	1599000	1119000	1359000	999000	
108	1260000	996000	1596000	1116000	1476000	1116000	
109	1281000	993000	1593000	1113000	1473000	1233000	
110	1302000	990000	1590000	1110000	1590000	1230000	
111	1299000	987000	1587000	1107000	1587000	1227000	
112	1296000	984000	1584000	1104000	1584000	1224000	
113	1293000	981000	1581000	1101000	1581000	1221000	
114	1290000	978000	1578000	1098000	1578000	1218000	
115	1335000	1095000	1695000	1095000	1575000	1215000	
116	1332000	1092000	1692000	1092000	1572000	1212000	
117	1353000	1209000	1689000	1089000	1569000	1209000	
118	1350000	1206000	1686000	1086000	1566000	1206000	
119	1371000	1203000	1803000	1083000	1563000	1203000	
120	1392000	1200000	1800000	1080000	1680000	1200000	
121	1413000	1197000	1797000	1077000	1797000	1197000	
122	1482000	1314000	1794000	1194000	1914000	1194000	
123	1479000	1311000	1791000	1191000	1911000	1191000	
124	1500000	1428000	1788000	1188000	1908000	1188000	
125	1497000	1425000	1785000	1185000	1905000	1185000	
126	1494000	1422000	1782000	1182000	1902000	1182000	
127	1491000	1419000	1779000	1179000	1899000	1179000	
128	1512000	1416000	1776000	1176000	1896000	1296000	
129	1509000	1413000	1773000	1173000	1893000	1293000	
130	1506000	1410000	1770000	1170000	1890000	1290000	
131	1527000	1527000	1767000	1167000	1887000	1287000	
132	1548000	1524000	1884000	1164000	1884000	1284000	
133	1617000	1521000	1881000	1281000	2001000	1401000	
134	1614000	1518000	1878000	1278000	1998000	1398000	
135	1611000	1515000	1875000	1275000	1995000	1395000	
136	1608000	1512000	1872000	1272000	1992000	1392000	
137	1605000	1509000	1869000	1269000	1989000	1389000	
138	1626000	1506000	1866000	1386000	1986000	1386000	
139	1647000	1503000	1863000	1503000	1983000	1383000	
140	1668000	1500000	1860000	1500000	1980000	1500000	
141	1665000	1497000	1857000	1497000	1977000	1497000	
142	1662000	1494000	1854000	1494000	1974000	1494000	
143	1683000	1491000	1851000	1491000	2091000	1491000	
144	1704000	1488000	1968000	1488000	2088000	1488000	
145	1725000	1485000	1965000	1605000	2085000	1485000	
146	1746000	1482000	1962000	1602000	2202000	1482000	
147	1743000	1479000	1959000	1599000	2199000	1479000	
148	1740000	1476000	1956000	1596000	2196000	1476000	
149	1761000	1473000	2073000	1593000	2193000	1473000	
150	1758000	1470000	2070000	1590000	2190000	1470000	
151	1803000	1467000	2187000	1707000	2187000	1467000	
152	1848000	1584000	2184000	1704000	2184000	1584000	
153	1845000	1581000	2181000	1701000	2181000	1581000	
154	1842000	1578000	2178000	1698000	2178000	1578000	
155	1863000	1575000	2175000	1815000	2175000	1575000	
156	1860000	1572000	2172000	1812000	2172000	1572000	
157	1881000	1569000	2169000	1929000	2169000	1569000	
158	1878000	1566000	2166000	1926000	2166000	1566000	
159	1899000	1683000	2163000	1923000	2163000	1563000	
160	1896000	1680000	2160000	1920000	2160000	1560000	
161	1917000	1677000	2277000	1917000	2157000	1557000	
162	1914000	1674000	2274000	1914000	2154000	1554000	
163	1935000	1671000	2271000	1911000	2271000	1551000	
164	1956000	1668000	2268000	1908000	2388000	1548000	
165	1953000	1665000	2265000	1905000	2385000	1545000	
166	1998000	1662000	2382000	1902000	2502000	1542000	
167	1995000	1659000	2379000	1899000	2499000	1539000	
168	2016000	1656000	2376000	2016000	2496000	1536000	
169	2037000	1653000	2373000	2133000	2493000	1533000	
170	2058000	1650000	2370000	2130000	2610000	1530000	
171	2055000	1647000	2367000	2127000	2607000	1527000	
172	2076000	1644000	2484000	2124000	2604000	1524000	
173	2145000	1641000	2601000	2121000	2721000	1641000	
174	2142000	1638000	2598000	2118000	2718000	1638000	
175	2163000	1635000	2595000	2115000	2715000	1755000	
176	2184000	1632000	2592000	2112000	2832000	1752000	
177	2229000	1749000	2589000	2229000	2829000	1749000	
178	2226000	1746000	2586000	2226000	2826000	1746000	
179	2247000	1743000	2583000	2223000	2823000	1863000	
180	2244000	1740000	2580000	2220000	2820000	1860000	
181	2241000	1737000	2577000	2217000	2817000	1857000	
182	2262000	1854000	2574000	2214000	2814000	1854000	
183	2283000	1851000	2571000	2331000	2811000	1851000	
184	2328000	1848000	2568000	2328000	2928000	1968000	
185	2325000	1845000	2565000	2325000	2925000	1965000	
186	2346000	1842000	2562000	2322000	2922000	2082000	
187	2391000	1839000	2679000	2319000	2919000	2199000	
188	2388000	1836000	2676000	2316000	2916000	2196000	
189	2433000	1833000	2673000	2433000	2913000	2313000	
190	2430000	1830000	2670000	2430000	2910000	2310000	
191	2451000	1827000	2667000	2427000	3027000	2307000	
192	2448000	1824000	2664000	2424000	3024000	2304000	
193	2469000	1821000	2661000	2541000	3021000	2301000	
194	2490000	1818000	2658000	2538000	3018000	2418000	
195	2487000	1815000	2655000	2535000	3015000	2415000	
196	2484000	1812000	2652000	2532000	3012000	2412000	
197	2505000	1809000	2649000	2529000	3129000	2409000	
198	2550000	1926000	2646000	2526000	3246000	2406000	
199	2571000	1923000	2643000	2523000	3243000	2523000	
200	2592000	1920000	2640000	2520000	3240000	2640000	
201	2613000	2037000	2637000	2517000	3237000	2637000	
202	2610000	2034000	2634000	2514000	3234000	2634000	
203	2607000	2031000	2631000	2511000	3231000	2631000	
204	2628000	2148000	2628000	2508000	3228000	2628000	
205	2649000	2145000	2625000	2625000	3225000	2625000	
206	2646000	2142000	2622000	2622000	3222000	2622000	
207	2643000	2139000	2619000	2619000	3219000	2619000	
208	2688000	2256000	2616000	2736000	3216000	2616000	
209	2709000	2253000	2613000	2853000	3213000	2613000	
210	2706000	2250000	2610000	2850000	3210000	2610000	
211	2727000	2247000	2607000	2847000	3327000	2607000	
212	2724000	2244000	2604000	2844000	3324000	2604000	
213	2745000	2241000	2601000	2841000	3441000	2601000	
214	2742000	2238000	2598000	2838000	3438000	2598000	
215	2739000	2235000	2595000	2835000	3435000	2595000	
216	2784000	2352000	2712000	2832000	3432000	2592000	
217	2781000	2349000	2709000	2829000	3429000	2589000	
218	2778000	2346000	2706000	2826000	3426000	2586000	
219	2775000	2343000	2703000	2823000	3423000	2583000	
220	2796000	2340000	2700000	2820000	3540000	2580000	
221	2793000	2337000	2697000	2817000	3537000	2577000	
222	2814000	2454000	2694000	2814000	3534000	2574000	
223	2835000	2571000	2691000	2811000	3531000	2571000	
