Feature	Gain	Cover	Frequency
rf_008_017	0.047850979111023	0.00296878235748109	0.000245515067773578
vm_status05_delta2	0.0322948323827964	0.00145765272704875	0.000251224720512498
rf_012_022	0.0240877162989898	0.00104169324919979	0.00227815144282925
ctrx_quarter	0.0211495776938229	0.001430333705619	0.000964931312877551
rf_002_015	0.0182877873407705	0.000900410036859126	0.00105628575670028
rf_018_020	0.0156080359686956	0.000321723250305998	0.000154160623950851
Visa_mfinanciacion_limite_rank	0.0146891282316449	0.00198085190794651	0.00326592136666248
rf_016_015	0.012333750280649	0.000796282766847221	0.00151876762855283
Visa_msaldototal_rank_lag2	0.0121425559688251	0.00140780918332396	0.00203834602779459
rf_003_026	0.0121264462366405	0.000519801268299705	0.000376837080768748
mtransferencias_recibidas_rank_lag2	0.0086221883537248	0.0016363791323413	0.00239805415034658
mcaja_ahorro_rank_delta2	0.00792070752744749	0.00276708624221548	0.00145596144842471
ctrx_quarter_normalizado_lag1	0.00790174579568529	0.000843943294389403	0.00081648034166562
rf_004_026	0.00771329135808248	0.00112818868581013	0.00054812666293636
ctarjeta_visa_transacciones	0.00766078066605053	0.00117440535508829	0.000536707357458519
mpayroll_sobre_edad_rank	0.0073583603666456	0.00123299117319481	0.000314030900640623
mcaja_ahorro_rank	0.00721131846209498	0.00172097533940331	0.0008107706889267
cdescubierto_preacordado_tend6	0.00711327014624456	0.00164356555483498	0.000188418540384374
rf_011_028	0.00710676852337865	0.000843903653855503	0.000359708122551986
mextraccion_autoservicio_rank_lag2	0.00676442873635198	0.0010732364878127	0.00135889735186306
Visa_msaldototal_rank	0.00648263932812036	0.00154142463499288	0.00198695915314431
rf_020_027	0.00622523293025781	0.00114260627615705	0.00121044638065113
mcuentas_saldo_rank	0.00612683649464051	0.00306596982537744	0.000770803119754257
vmr_Master_mlimitecompra_tend6	0.00610069702916019	0.00212872406981919	0.00132463943542954
ccomisiones_mantenimiento_tend6	0.00598217150459393	0.00270206232738403	0.000365417775290907
mcuenta_corriente_rank	0.00596664562352496	0.00267776723798316	0.000907834785488347
rf_001_017	0.00578560311114474	0.00109890269171203	0.00203834602779459
cdescubierto_preacordado	0.00552384357000564	0.00185058803476933	0.000719416245103973
mprestamos_personales_rank_lag2	0.00540691399549273	0.00324263828271589	0.000930673396444028
mprestamos_personales_rank_delta1	0.00511441229653569	0.00407843768726125	0.000765093467015336
mprestamos_personales_rank_tend6	0.00504522298822017	0.00275604770786574	0.000633771454020167
vm_fultimo_cierre	0.0050275356176456	0.000733196550071687	0.00104486645122244
mpayroll_rank_lag1	0.00486536414091963	0.000592050907573373	0.000199837845862215
Visa_delinquency_delta2	0.00460870550401963	0.00109388003812463	0.000610932843064485
ctrx_quarter_normalizado_delta2	0.00455863253924141	0.00199059675966856	0.00230099005378493
active_quarter_lag1	0.00449995942003307	0.000907069464239183	0.00068515832867045
Visa_mconsumosdolares_rank_tend6	0.00439100023771158	0.00200573053621863	0.00323737310296788
ctrx_quarter_normalizado	0.00422920043549723	0.00110628684806469	0.000765093467015336
mrentabilidad_annual_rank_lag2	0.00414518081746527	0.00361927263196379	0.00510442954859486
vm_status01_tend6	0.00402527600676342	0.00112054022450475	0.000645190759498007
Visa_msaldopesos_rank	0.00397463171822828	0.00138479952027666	0.00202692672231675
mtarjeta_visa_consumo_rank_delta2	0.00389712014826184	0.0019256656693199	0.00245515067773578
cprestamos_personales_tend6	0.00386874346053996	0.00376677818401046	0.000519578399241758
rf_006_021	0.00381213178529663	0.00177012202233635	0.0043621746925352
mprestamos_personales_rank_lag1	0.00362963224674993	0.00219547971861847	0.00054241701019744
cdescubierto_preacordado_delta1	0.00362724194517909	0.00102456661122271	0.00013132201299517
vm_status02	0.0034616141947651	0.00230381550066114	0.00109625332587272
mtarjeta_visa_consumo_rank	0.00341717826520819	0.00104761135692387	0.000862157563576983
mautoservicio_rank_lag1	0.00338283052102041	0.00105776438633795	0.000696577634148291
Visa_mpagospesos_rank_tend6	0.00336652367102584	0.0024786162689812	0.00429936851240708
cpayroll_trx	0.00324545730781341	0.000212090347691818	1.71289582167613e-05
mactivos_margen_rank_lag1	0.00302581787239622	0.00298216494442679	0.00248369894143038
rf_011_027	0.00302555961532183	0.000980362623638509	0.00251224720512498
cdescubierto_preacordado_delta2	0.00302270095998848	0.00113187324999564	0.000228386109556817
mcuenta_debitos_automaticos_rank_lag1	0.00300757076660162	0.00148539688148432	0.000747964508798575
mprestamos_personales_rank	0.00300003064538126	0.0026696255880116	0.000462481871852554
mrentabilidad_annual_rank_delta2	0.00295941039805694	0.00292694190417442	0.00575532996083178
mtransferencias_recibidas_rank_lag1	0.00293947318356647	0.00136278686093349	0.00107912436765596
mactivos_margen_rank_delta2	0.0029012484938398	0.00342540765783587	0.00491601100821048
mcomisiones_otras_rank_tend6	0.00288942069490701	0.00188608678400282	0.00251224720512498
ctrx_quarter_normalizado_delta1	0.00285232631069076	0.00154005661985286	0.00123899464434573
mpayroll_sobre_edad_rank_lag1	0.00282908650355765	0.0017306317422074	0.000433933608157952
mcomisiones_otras_rank_delta1	0.00282859796928164	0.00274167223233046	0.00473330212056503
vm_mpagospesos_rank	0.00276261641774996	0.000871145217369476	0.00107341471491704
mactivos_margen_rank_delta1	0.00268997767900609	0.00266483127119208	0.00411665962476162
mcuenta_debitos_automaticos_rank	0.0026321857463706	0.00148665251232489	0.000616642495803405
Master_fechaalta_tend6	0.00263051968507974	0.00143672171775347	0.00187847575110482
rf_017_026	0.00260925526164576	0.00118083048138887	0.00151876762855283
Visa_mconsumospesos_rank_tend6	0.00260796406373484	0.00216496116957537	0.00412236927750054
mactivos_margen_rank	0.0025999162083735	0.00262239626196695	0.00169005721072044
mcuentas_saldo_rank_tend6	0.00250479762833698	0.00228564677503498	0.00186134679288806
matm_rank_lag1	0.00249220467253722	0.00106933976082223	0.000588094232108803
rf_006_015	0.00245360756070186	0.00138032420297042	0.00141028422651334
mcomisiones_rank_lag2	0.00233631904705117	0.00276423045689281	0.00518436468693974
rf_016_021	0.00229053435244122	0.00147570411981997	0.00217537769352868
mcomisiones_otras_rank_lag2	0.00226235659383331	0.00198969508076998	0.00423085267954003
rf_002_021	0.00224511472794009	0.000905030945876603	0.00129609117173494
mrentabilidad_rank_lag2	0.00223635725637102	0.00323569926195119	0.00524146121432895
mpasivos_margen_rank_delta2	0.00222828843834956	0.00254189165080123	0.00552123419853605
mcuentas_saldo_rank_lag2	0.00222340422521572	0.00245953693101157	0.00256363407977527
mrentabilidad_rank_delta1	0.00217719653657841	0.00268162937717533	0.00480181795343207
Master_fechaalta_lag2	0.0021508536207709	0.00280561025177433	0.00465907663495906
ccaja_ahorro_tend6	0.00213930289894803	0.00338646343778166	0.000336869511596305
mcuentas_saldo_rank_delta2	0.00212105453210403	0.00251071327699739	0.0024608603304747
mpasivos_margen_rank_delta1	0.00209360933863498	0.00243018954878049	0.00403672448641674
mrentabilidad_annual_rank	0.00208536686163478	0.00249793217394781	0.00286624567493805
Visa_mpagospesos_rank_lag2	0.00207488074783019	0.00182222320125138	0.0035799522673031
mrentabilidad_annual_rank_delta1	0.00205940985320547	0.00235327133808656	0.00432791677610168
mcomisiones_rank_lag1	0.00200898155935955	0.00218692994304493	0.00317456692283975
mcomisiones_rank_delta1	0.00200579222862123	0.00201385127203203	0.00377979011316532
Master_status	0.00198548113232651	0.00143945717504288	0.00105628575670028
Visa_mpagado_rank_lag1	0.00195856234761155	0.000475835123918909	0.000536707357458519
rf_018_026	0.0019284797776382	0.00124885767454134	0.00289479393863265
rf_002_020	0.00191851210685117	0.000839384033955199	0.000256934373251419
Visa_mconsumospesos_rank_delta2	0.00191173204847575	0.00259384129973844	0.00477897934247639
mcomisiones_otras_rank_delta2	0.00190433421117211	0.00208114678218919	0.00499594614655537
rf_006_022	0.00189568301700323	0.000841735717744598	0.000468191524591474
rf_013_017	0.00189415963904027	0.000882477305239323	0.000673739023192609
vm_status06_delta2	0.00188698643561712	0.000754007517829025	0.000228386109556817
Visa_mpagospesos_rank_delta2	0.00187714709892591	0.0023000819718214	0.00451633531648605
Visa_mpagospesos_rank_delta1	0.00186495885361548	0.0022670479418025	0.00456772219113634
rf_011_025	0.00185754058230826	0.000607043233571792	0.000639481106759087
mactivos_margen_rank_lag2	0.00185091631768276	0.00289788284041263	0.00408811136106702
mprestamos_personales_rank_delta2	0.0018503928027533	0.00363232801521212	0.000673739023192609
Master_fechaalta_lag1	0.00183093323070271	0.0027051884601061	0.00437930365075196
vm_mconsumospesos_rank	0.00182716288988259	0.000978569084817234	0.00101631818752783
Visa_mpagospesos_rank_lag1	0.00181726251068815	0.00212125162081874	0.00393395073711617
Visa_mconsumospesos_rank_lag1	0.00181239847233308	0.00220788436682114	0.00418517545762867
mcomisiones_otras_rank_lag1	0.00177684627646408	0.00162297055245682	0.00266640782907584
Visa_mpagospesos_rank	0.00177603617189792	0.00193650040131894	0.00340295303239657
chomebanking_transacciones_lag1	0.00177463026792744	0.00204254268416665	0.0032716310194014
mcomisiones_rank_delta2	0.00176262473731498	0.00272540265811754	0.00513868746502838
Master_Fvencimiento_lag1	0.00175460847706138	0.0019698004031724	0.00437930365075196
Visa_mpagominimo_rank_lag2	0.00175362324776665	0.00176165478345921	0.00284911671672129
