Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado_lag1	0.0350535761368013	0.0010756254846711	0.000636183358360366
rf_014_017	0.0247775693638592	0.00364883484622737	0.000355345659624709
vm_mconsumospesos_rank_lag1	0.0218916093998108	0.00089099386438109	0.00110615665012208
vm_status05_delta2	0.0190976187472071	0.00142384932267454	0.000240718027487706
rf_018_026	0.0162113266139575	0.00192911722174226	0.00338724652964844
vm_mpagospesos_rank	0.0155657122098512	0.000731391335821491	0.000676303029608317
mautoservicio_rank_lag2	0.0145998732997292	0.00170821678161647	0.00219511915542361
mv_status07_rank_delta2	0.012910775023131	0.0017687937961562	0.00038973394926581
rf_011_015	0.0122902684781421	0.00102091690234658	0.00159332408670434
vm_status01	0.0120358642968668	0.00148719253797281	0.000699228556035718
rf_006_021	0.011187065388147	0.00170370821389159	0.00268228659200587
rf_011_028	0.0105005595592489	0.000583041497590394	0.000355345659624709
rf_018_020	0.00998447976145247	0.000281496677200809	0.000131821776957553
mcuentas_saldo_rank	0.009893821570069	0.00318136185446328	0.000894095530668623
Visa_mpagospesos_rank_lag1	0.00900618459317493	0.00168890995290381	0.00332993271357994
mtarjeta_visa_consumo_rank_lag2	0.00875284571929516	0.00112858577741028	0.00186843040383315
rf_003_026	0.00864009145655498	0.000905340681529754	0.000538749871043914
rf_005_020	0.00844829345808025	0.00194686221946198	0.00315225988376758
cproductos_tend6	0.00818266491325798	0.00228363176430389	0.000355345659624709
mprestamos_personales_rank	0.0076580033966673	0.00292367350811948	0.000561675397471314
mcuenta_debitos_automaticos_rank	0.0074605386179933	0.00133796628201413	0.000670571648001467
mcomisiones_mantenimiento_rank_delta2	0.00675572364220956	0.00229483811273648	0.00142138263849884
cdescubierto_preacordado	0.00664527591185239	0.00198088712001854	0.000613257831932966
rf_002_024	0.00641748904418822	0.00106921674335563	0.00228108987952636
Visa_mpagospesos_rank_tend6	0.00623635476383859	0.00213694511697483	0.00370820389963205
Visa_msaldototal_rank	0.00607076558938733	0.00138661675245757	0.00197159527275645
ctrx_quarter	0.00604016210708864	0.00127691532807372	0.000653377503180917
rf_013_026	0.00598116750666201	0.00059903854341797	0.000555944015864464
