envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	93000	-3000	117000	117000	117000	117000	
2	138000	114000	114000	234000	114000	114000	
3	135000	111000	111000	231000	111000	111000	
4	156000	228000	108000	228000	108000	108000	
5	177000	225000	105000	225000	225000	105000	
6	174000	222000	102000	222000	222000	102000	
7	195000	219000	99000	219000	219000	219000	
8	192000	216000	96000	216000	216000	216000	
9	213000	213000	213000	213000	213000	213000	
10	234000	210000	210000	210000	330000	210000	
11	231000	207000	207000	207000	327000	207000	
12	228000	204000	204000	204000	324000	204000	
13	225000	201000	201000	201000	321000	201000	
14	246000	198000	198000	198000	318000	318000	
15	243000	195000	195000	195000	315000	315000	
16	240000	192000	192000	192000	312000	312000	
17	237000	189000	189000	189000	309000	309000	
18	234000	186000	186000	186000	306000	306000	
19	231000	183000	183000	183000	303000	303000	
20	252000	180000	180000	3e+05	3e+05	3e+05	
21	249000	177000	177000	297000	297000	297000	
22	246000	174000	174000	294000	294000	294000	
23	243000	171000	171000	291000	291000	291000	
24	240000	168000	168000	288000	288000	288000	
25	237000	165000	165000	285000	285000	285000	
26	234000	162000	162000	282000	282000	282000	
27	255000	159000	159000	279000	279000	399000	
28	252000	156000	156000	276000	276000	396000	
29	273000	153000	273000	273000	273000	393000	
30	294000	150000	270000	270000	390000	390000	
31	339000	147000	387000	267000	507000	387000	
32	336000	144000	384000	264000	504000	384000	
33	333000	141000	381000	261000	501000	381000	
34	330000	138000	378000	258000	498000	378000	
35	351000	135000	375000	255000	495000	495000	
36	372000	132000	372000	252000	492000	612000	
37	369000	129000	369000	249000	489000	609000	
38	366000	126000	366000	246000	486000	606000	
39	363000	123000	363000	243000	483000	603000	
40	384000	240000	360000	240000	480000	6e+05	
41	381000	237000	357000	237000	477000	597000	
42	378000	234000	354000	234000	474000	594000	
43	375000	231000	351000	231000	471000	591000	
44	396000	348000	348000	228000	468000	588000	
45	417000	345000	345000	225000	465000	705000	
46	414000	342000	342000	222000	462000	702000	
47	411000	339000	339000	219000	459000	699000	
48	408000	336000	336000	216000	456000	696000	
49	405000	333000	333000	213000	453000	693000	
50	402000	330000	330000	210000	450000	690000	
51	399000	327000	327000	207000	447000	687000	
52	396000	324000	324000	204000	444000	684000	
53	393000	321000	321000	201000	441000	681000	
54	390000	318000	318000	198000	438000	678000	
55	387000	315000	315000	195000	435000	675000	
56	432000	432000	432000	192000	432000	672000	
57	453000	429000	549000	189000	429000	669000	
58	474000	546000	546000	186000	426000	666000	
59	471000	543000	543000	183000	423000	663000	
60	468000	540000	540000	180000	420000	660000	
61	489000	537000	657000	177000	417000	657000	
62	486000	534000	654000	174000	414000	654000	
63	531000	531000	651000	291000	531000	651000	
64	528000	528000	648000	288000	528000	648000	
65	525000	525000	645000	285000	525000	645000	
66	522000	522000	642000	282000	522000	642000	
67	519000	519000	639000	279000	519000	639000	
68	516000	516000	636000	276000	516000	636000	
69	513000	513000	633000	273000	513000	633000	
70	534000	510000	630000	390000	510000	630000	
71	531000	507000	627000	387000	507000	627000	
72	552000	504000	624000	504000	504000	624000	
73	549000	501000	621000	501000	501000	621000	
74	546000	498000	618000	498000	498000	618000	
75	567000	495000	615000	495000	615000	615000	
76	564000	492000	612000	492000	612000	612000	
77	561000	489000	609000	489000	609000	609000	
78	558000	486000	606000	486000	606000	606000	
79	555000	483000	603000	483000	603000	603000	
80	552000	480000	6e+05	480000	6e+05	6e+05	
81	549000	477000	597000	477000	597000	597000	
82	570000	474000	714000	474000	594000	594000	
83	567000	471000	711000	471000	591000	591000	
84	588000	468000	708000	468000	708000	588000	
85	609000	465000	705000	585000	705000	585000	
86	630000	462000	822000	582000	702000	582000	
87	627000	459000	819000	579000	699000	579000	
88	624000	456000	816000	576000	696000	576000	
89	621000	453000	813000	573000	693000	573000	
90	618000	450000	810000	570000	690000	570000	
91	615000	447000	807000	567000	687000	567000	
92	612000	444000	804000	564000	684000	564000	
93	633000	441000	801000	561000	681000	681000	
94	630000	438000	798000	558000	678000	678000	
95	627000	435000	795000	555000	675000	675000	
96	648000	432000	912000	552000	672000	672000	
97	669000	429000	1029000	549000	669000	669000	
98	666000	426000	1026000	546000	666000	666000	
99	663000	423000	1023000	543000	663000	663000	
100	660000	420000	1020000	540000	660000	660000	
101	657000	417000	1017000	537000	657000	657000	
102	702000	414000	1134000	654000	654000	654000	
103	723000	531000	1131000	651000	651000	651000	
104	744000	648000	1128000	648000	648000	648000	
105	765000	645000	1125000	765000	645000	645000	
106	786000	642000	1122000	762000	642000	762000	
107	807000	639000	1119000	879000	639000	759000	
108	852000	756000	1236000	876000	636000	756000	
109	849000	753000	1233000	873000	633000	753000	
110	870000	750000	1350000	870000	630000	750000	
111	915000	867000	1467000	867000	627000	747000	
112	912000	864000	1464000	864000	624000	744000	
113	909000	861000	1461000	861000	621000	741000	
114	930000	858000	1458000	978000	618000	738000	
115	927000	855000	1455000	975000	615000	735000	
116	924000	852000	1452000	972000	612000	732000	
117	921000	849000	1449000	969000	609000	729000	
118	942000	846000	1566000	966000	606000	726000	
119	939000	843000	1563000	963000	603000	723000	
120	936000	840000	1560000	960000	6e+05	720000	
121	933000	837000	1557000	957000	597000	717000	
122	930000	834000	1554000	954000	594000	714000	
123	951000	831000	1671000	951000	591000	711000	
124	948000	828000	1668000	948000	588000	708000	
125	969000	825000	1785000	945000	585000	705000	
126	966000	822000	1782000	942000	582000	702000	
127	987000	819000	1779000	1059000	579000	699000	
128	1008000	816000	1776000	1056000	696000	696000	
129	1005000	813000	1773000	1053000	693000	693000	
130	1026000	810000	1770000	1050000	690000	810000	
131	1023000	807000	1767000	1047000	687000	807000	
132	1044000	804000	1884000	1044000	684000	804000	
133	1065000	801000	1881000	1041000	681000	921000	
134	1086000	798000	1878000	1038000	798000	918000	
135	1083000	795000	1875000	1035000	795000	915000	
136	1080000	792000	1872000	1032000	792000	912000	
137	1077000	789000	1869000	1029000	789000	909000	
138	1074000	786000	1866000	1026000	786000	906000	
139	1071000	783000	1863000	1023000	783000	903000	
140	1068000	780000	1860000	1020000	780000	9e+05	
