envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	69000	-3000	117000	117000	-3000	117000	
2	114000	114000	114000	114000	114000	114000	
3	135000	111000	111000	231000	111000	111000	
4	132000	108000	108000	228000	108000	108000	
5	153000	105000	105000	225000	105000	225000	
6	150000	102000	102000	222000	102000	222000	
7	147000	99000	99000	219000	99000	219000	
8	144000	96000	96000	216000	96000	216000	
9	141000	93000	93000	213000	93000	213000	
10	186000	90000	210000	210000	210000	210000	
11	231000	207000	207000	207000	327000	207000	
12	228000	204000	204000	204000	324000	204000	
13	225000	201000	201000	201000	321000	201000	
14	270000	318000	318000	198000	318000	198000	
15	267000	315000	315000	195000	315000	195000	
16	264000	312000	312000	192000	312000	192000	
17	261000	309000	309000	189000	309000	189000	
18	258000	306000	306000	186000	306000	186000	
19	255000	303000	303000	183000	303000	183000	
20	252000	3e+05	3e+05	180000	3e+05	180000	
21	249000	297000	297000	177000	297000	177000	
22	270000	294000	294000	174000	414000	174000	
23	267000	291000	291000	171000	411000	171000	
24	264000	288000	288000	168000	408000	168000	
25	261000	285000	285000	165000	405000	165000	
26	282000	282000	402000	162000	402000	162000	
27	279000	279000	399000	159000	399000	159000	
28	3e+05	396000	396000	156000	396000	156000	
29	297000	393000	393000	153000	393000	153000	
30	294000	390000	390000	150000	390000	150000	
31	291000	387000	387000	147000	387000	147000	
32	288000	384000	384000	144000	384000	144000	
33	285000	381000	381000	141000	381000	141000	
34	282000	378000	378000	138000	378000	138000	
35	279000	375000	375000	135000	375000	135000	
36	276000	372000	372000	132000	372000	132000	
37	297000	369000	369000	249000	369000	129000	
38	318000	366000	366000	366000	366000	126000	
39	339000	483000	363000	363000	363000	123000	
40	336000	480000	360000	360000	360000	120000	
41	333000	477000	357000	357000	357000	117000	
42	330000	474000	354000	354000	354000	114000	
43	327000	471000	351000	351000	351000	111000	
44	348000	588000	348000	348000	348000	108000	
45	345000	585000	345000	345000	345000	105000	
46	342000	582000	342000	342000	342000	102000	
47	339000	579000	339000	339000	339000	99000	
48	384000	576000	456000	336000	456000	96000	
49	405000	573000	453000	333000	573000	93000	
50	426000	570000	570000	330000	570000	90000	
51	447000	567000	567000	327000	567000	207000	
52	444000	564000	564000	324000	564000	204000	
53	441000	561000	561000	321000	561000	201000	
54	462000	558000	678000	318000	558000	198000	
55	459000	555000	675000	315000	555000	195000	
56	456000	552000	672000	312000	552000	192000	
57	477000	669000	669000	309000	549000	189000	
58	474000	666000	666000	306000	546000	186000	
59	471000	663000	663000	303000	543000	183000	
60	468000	660000	660000	3e+05	540000	180000	
61	513000	777000	657000	297000	657000	177000	
62	534000	774000	654000	414000	654000	174000	
63	555000	771000	651000	531000	651000	171000	
64	576000	768000	648000	528000	648000	288000	
65	597000	765000	645000	525000	765000	285000	
66	618000	762000	642000	642000	762000	282000	
67	663000	879000	759000	639000	759000	279000	
68	660000	876000	756000	636000	756000	276000	
69	681000	873000	753000	633000	873000	273000	
70	726000	870000	750000	750000	870000	390000	
71	747000	867000	747000	747000	987000	387000	
72	768000	984000	744000	744000	984000	384000	
73	789000	981000	741000	741000	1101000	381000	
74	786000	978000	738000	738000	1098000	378000	
75	783000	975000	735000	735000	1095000	375000	
76	804000	972000	852000	732000	1092000	372000	
77	825000	969000	849000	729000	1209000	369000	
78	846000	1086000	846000	726000	1206000	366000	
79	867000	1083000	843000	843000	1203000	363000	
80	864000	1080000	840000	840000	1200000	360000	
81	861000	1077000	837000	837000	1197000	357000	
82	858000	1074000	834000	834000	1194000	354000	
83	879000	1071000	831000	831000	1311000	351000	
84	9e+05	1068000	948000	828000	1308000	348000	
85	945000	1185000	945000	825000	1305000	465000	
86	966000	1302000	942000	822000	1302000	462000	
87	963000	1299000	939000	819000	1299000	459000	
88	960000	1296000	936000	816000	1296000	456000	
89	957000	1293000	933000	813000	1293000	453000	
90	978000	1290000	1050000	810000	1290000	450000	
91	999000	1287000	1047000	807000	1407000	447000	
92	996000	1284000	1044000	804000	1404000	444000	
