envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	45000	-3000	117000	-3000	-3000	117000	
2	90000	114000	114000	-6000	114000	114000	
3	87000	111000	111000	-9000	111000	111000	
4	132000	228000	108000	108000	108000	108000	
5	129000	225000	105000	105000	105000	105000	
6	126000	222000	102000	102000	102000	102000	
7	123000	219000	99000	99000	99000	99000	
8	144000	216000	96000	96000	216000	96000	
9	141000	213000	93000	93000	213000	93000	
10	138000	210000	90000	90000	210000	90000	
11	159000	207000	207000	87000	207000	87000	
12	180000	204000	204000	204000	204000	84000	
13	201000	201000	201000	201000	321000	81000	
14	198000	198000	198000	198000	318000	78000	
15	219000	195000	195000	315000	315000	75000	
16	216000	192000	192000	312000	312000	72000	
17	261000	309000	189000	309000	309000	189000	
18	258000	306000	186000	306000	306000	186000	
19	255000	303000	183000	303000	303000	183000	
20	3e+05	3e+05	3e+05	3e+05	3e+05	3e+05	
21	297000	297000	297000	297000	297000	297000	
22	294000	294000	294000	294000	294000	294000	
23	315000	411000	291000	291000	291000	291000	
24	312000	408000	288000	288000	288000	288000	
25	309000	405000	285000	285000	285000	285000	
26	330000	402000	282000	282000	402000	282000	
27	327000	399000	279000	279000	399000	279000	
28	324000	396000	276000	276000	396000	276000	
29	321000	393000	273000	273000	393000	273000	
30	342000	390000	390000	270000	390000	270000	
31	339000	387000	387000	267000	387000	267000	
32	336000	384000	384000	264000	384000	264000	
33	333000	381000	381000	261000	381000	261000	
34	354000	378000	378000	258000	498000	258000	
35	399000	495000	495000	255000	495000	255000	
36	396000	492000	492000	252000	492000	252000	
37	441000	609000	489000	249000	489000	369000	
38	462000	606000	486000	246000	486000	486000	
39	483000	603000	483000	243000	603000	483000	
40	480000	6e+05	480000	240000	6e+05	480000	
41	477000	597000	477000	237000	597000	477000	
42	498000	594000	594000	234000	594000	474000	
43	519000	591000	591000	231000	591000	591000	
44	516000	588000	588000	228000	588000	588000	
45	513000	585000	585000	225000	585000	585000	
46	558000	582000	582000	342000	582000	702000	
47	579000	579000	579000	339000	699000	699000	
48	6e+05	576000	576000	336000	816000	696000	
49	621000	573000	573000	453000	813000	693000	
50	642000	570000	570000	450000	810000	810000	
51	639000	567000	567000	447000	807000	807000	
52	636000	564000	564000	444000	804000	804000	
53	633000	561000	561000	441000	801000	801000	
54	630000	558000	558000	438000	798000	798000	
55	651000	555000	555000	435000	915000	795000	
56	672000	552000	552000	552000	912000	792000	
57	669000	549000	549000	549000	909000	789000	
58	666000	546000	546000	546000	906000	786000	
59	663000	543000	543000	543000	903000	783000	
60	660000	540000	540000	540000	9e+05	780000	
61	657000	537000	537000	537000	897000	777000	
62	654000	534000	534000	534000	894000	774000	
63	651000	531000	531000	531000	891000	771000	
64	648000	528000	528000	528000	888000	768000	
65	645000	525000	525000	525000	885000	765000	
66	642000	522000	522000	522000	882000	762000	
67	639000	519000	519000	519000	879000	759000	
68	636000	516000	516000	516000	876000	756000	
69	657000	513000	513000	513000	873000	873000	
70	654000	510000	510000	510000	870000	870000	
71	675000	507000	507000	627000	867000	867000	
72	696000	504000	504000	624000	864000	984000	
73	693000	501000	501000	621000	861000	981000	
74	690000	498000	498000	618000	858000	978000	
75	735000	495000	615000	615000	975000	975000	
76	732000	492000	612000	612000	972000	972000	
77	729000	489000	609000	609000	969000	969000	
78	750000	486000	606000	606000	1086000	966000	
79	747000	483000	603000	603000	1083000	963000	
80	744000	480000	6e+05	6e+05	1080000	960000	
81	741000	477000	597000	597000	1077000	957000	
82	738000	474000	594000	594000	1074000	954000	
83	735000	471000	591000	591000	1071000	951000	
84	732000	468000	588000	588000	1068000	948000	
85	753000	465000	705000	585000	1065000	945000	
86	774000	462000	822000	582000	1062000	942000	
87	795000	459000	819000	699000	1059000	939000	
88	792000	456000	816000	696000	1056000	936000	
89	813000	573000	813000	693000	1053000	933000	
90	810000	570000	810000	690000	1050000	930000	
91	807000	567000	807000	687000	1047000	927000	
92	828000	564000	804000	684000	1044000	1044000	
93	825000	561000	801000	681000	1041000	1041000	
94	846000	558000	918000	678000	1038000	1038000	
95	843000	555000	915000	675000	1035000	1035000	
96	840000	552000	912000	672000	1032000	1032000	
97	861000	669000	909000	669000	1029000	1029000	
98	858000	666000	906000	666000	1026000	1026000	
99	903000	783000	1023000	663000	1023000	1023000	
100	9e+05	780000	1020000	660000	1020000	1020000	
101	921000	777000	1017000	657000	1017000	1137000	
102	942000	774000	1134000	654000	1014000	1134000	
103	987000	891000	1131000	771000	1011000	1131000	
104	1008000	888000	1128000	888000	1008000	1128000	
105	1029000	885000	1125000	1005000	1005000	1125000	
106	1026000	882000	1122000	1002000	1002000	1122000	
107	1023000	879000	1119000	999000	999000	1119000	
108	1020000	876000	1116000	996000	996000	1116000	
109	1017000	873000	1113000	993000	993000	1113000	
110	1038000	870000	1110000	1110000	990000	1110000	
111	1059000	867000	1107000	1227000	987000	1107000	
112	1056000	864000	1104000	1224000	984000	1104000	
113	1077000	981000	1101000	1221000	981000	1101000	
114	1074000	978000	1098000	1218000	978000	1098000	
115	1071000	975000	1095000	1215000	975000	1095000	
116	1068000	972000	1092000	1212000	972000	1092000	
117	1065000	969000	1089000	1209000	969000	1089000	
118	1086000	1086000	1086000	1206000	966000	1086000	
119	1131000	1203000	1083000	1203000	1083000	1083000	
120	1152000	1200000	1080000	1320000	1080000	1080000	
