Feature	Gain	Cover	Frequency
rf_014_017	0.0481050399888531	0.00423118940275862	0.000363588849184482
ctrx_quarter	0.0378288883907039	0.00122029581448283	0.000676048016452395
rf_018_026	0.0282422113407876	0.00214220220436019	0.00172136595785778
cdescubierto_preacordado_delta2	0.0281507483209138	0.0012082223547867	0.000170432273055226
rf_011_015	0.0186383846868911	0.000888361624588007	0.00130096635098822
vmr_msaldodolares2_lag2	0.0127119553481193	0.000786118130452625	0.000295415939962391
vm_status01	0.0111239262921236	0.00135101739342337	0.00055106434954523
ctrx_quarter_normalizado	0.0110902687477474	0.000904145975288702	0.00057378865261926
rf_005_015	0.0107419785422842	0.000920516576464231	0.000369269924952989
vm_status06_delta2	0.0103154887604718	0.000432365968595106	0.000130664742675673
Visa_mpagosdolares_rank_delta1	0.00995728238465573	0.00102370051625573	0.00129528527521972
rf_002_020	0.00971130046135696	0.000636079535407594	0.000318140243036421
mcuentas_saldo_rank	0.00904743754895187	0.00265324748297889	0.00114189622947001
rf_002_015	0.00843305844877462	0.00103912886171237	0.00123279344176613
Visa_mfinanciacion_limite_rank_delta1	0.00780930642220575	0.00257318984950583	0.00402788271987184
rf_017_015	0.00746585070332801	0.00121526040348878	0.00177249563977435
vmr_mconsumospesos_delta2	0.00711239538629882	0.00198588444910361	0.00163614982133017
matm_rank	0.00677500763799723	0.00118895486619681	0.00066468586491538
rf_012_014	0.00636362579636437	0.000747895769476039	0.000539702198008215
mcaja_ahorro_rank_lag1	0.00633108732134621	0.00181982816265743	0.000806712759128068
vm_mconsumospesos_rank	0.00629789033093587	0.000816469446594233	0.000812393834896576
mpayroll_rank_delta1	0.00612451974676819	0.00104826556014764	0.000363588849184482
Visa_cconsumos_tend6	0.00596491747256291	0.00254700288444163	0.00338024008226198
mcuentas_saldo_rank_delta2	0.00565178220984196	0.00263095223156661	0.00261329485351346
mtarjeta_master_consumo_rank	0.00541944009578018	0.000586200894853963	0.000409037455332542
rf_019_023	0.00530545883914326	0.00152848704377642	0.00159638229095061
vm_status03_tend6	0.00515320810267722	0.000622047797657663	0.00011362151537015
mprestamos_personales_rank_delta1	0.00509667085395406	0.00349990825190562	0.000727177698368963
rf_010_026	0.0046354646404912	0.00101015857099799	0.000556745425313738
rf_006_015	0.00443428570553024	0.00171193454447195	0.00197701436744062
mprestamos_personales_rank_tend6	0.00433908377916282	0.0022512894933599	0.000516977894934185
mprestamos_personales_rank_delta2	0.00428135464309756	0.00385755042228346	0.000880566744118666
ctrx_quarter_normalizado_delta1	0.00425498220060955	0.0012068206316852	0.00105099901717389
mpagomiscuentas_rank_lag1	0.00421623832721648	0.00121657285639313	0.000704453395294933
vmr_msaldopesos2_tend6	0.00407408050288599	0.00154130651166135	0.00194860898859808
rf_015_027	0.00390936751319643	0.00114622219605878	0.00138618248751584
vm_Finiciomora	0.0038984419528127	0.00274443519241907	0.000460167137249109
rf_015_016	0.00379204728367149	0.00109537417507752	0.000772626304517023
rf_004_026	0.00377258623223007	0.000978901069228915	0.000585150804156275
rf_012_015	0.00365012127077264	0.000932068764315657	0.000301097015730899
Visa_mpagominimo_rank_delta1	0.00355968889009225	0.00153463168222159	0.00240309505007868
mpasivos_margen_rank_delta2	0.00353735907770582	0.00243251163992841	0.00524931401010095
