Feature	Gain	Cover	Frequency
rf_017_015	0.0395304351858543	0.00269718795303597	0.00102489184842925
ctrx_quarter_lag1	0.0381825319470464	0.00159328531262164	0.00104754139204095
mpasivos_margen_rank_lag1	0.0269295927535822	0.00262263026246811	0.00259903512944214
mpayroll_rank_lag1	0.0241564054436491	0.00106516239658849	0.000424678942719304
rf_005_020	0.0198640586726966	0.00194606806648257	0.00375982423954157
rf_020_017	0.0194682386480584	0.00108505256708857	0.00108717809336142
ctrx_quarter_normalizado_lag1	0.0180849655467708	0.0013449621450305	0.00100790469072048
vm_status05_tend6	0.016570985859793	0.000584222821419675	0.000158546805281874
ctarjeta_visa_transacciones	0.013673733770886	0.00122044384149288	0.000702135851962583
rf_001_025	0.0127084975059279	0.00117653790668671	0.00215736902901407
mprestamos_personales_rank	0.0126632707909871	0.00336317606810591	0.000673823922447963
rf_020_027	0.0109544829401826	0.00176823565139682	0.00109850286516727
vm_status04_delta1	0.00969085385398221	0.000753843091540738	0.00015288441937895
mcuenta_corriente_rank	0.00927913860836455	0.00209433672823058	0.00109284047926434
cdescubierto_preacordado	0.00874211724091996	0.00212023396007248	0.000741772553283051
Visa_mpagospesos_rank_lag1	0.00858807858078868	0.00204810810988658	0.00398631967565854
mcuentas_saldo_rank	0.00836193306094473	0.00398364661823072	0.00124572489864329
Master_mpagominimo_rank_delta2	0.0076584032634205	0.00156621627694481	0.00206110846866436
rf_008_021	0.00736502357653548	0.000844105890216898	0.000554913818486558
mcaja_ahorro_rank	0.00684636798943256	0.00168533222131203	0.000866345043147381
vm_msaldototal_rank_delta2	0.00581290487740053	0.000883499895175343	0.00117211388190528
rf_009_021	0.0056924772683307	0.000750341314808709	0.000662499150642115
rf_009_023	0.0055242456062654	0.0010703699620536	0.00109284047926434
rf_019_023	0.00521057085062064	0.00129484231986819	0.00139860931802224
mprestamos_personales_rank_delta1	0.00463363098447822	0.00327530119011103	0.000713460623768431
rf_010_016	0.00424434577013047	0.000485552035244856	0.000300106452854975
vm_Finiciomora	0.00419843464192598	0.00307456552951337	0.000413354170913456
vm_status04_delta2	0.00414253398642327	0.000680956421035435	0.00015288441937895
mprestamos_personales_rank_delta2	0.00389280753564152	0.00365150494375831	0.000860682657244457
rf_002_017	0.00386880521356069	0.00127244518663244	0.000979592761205862
mcuentas_saldo_rank_tend6	0.00375609972676685	0.00197464287926453	0.00099091753301171
rf_012_022	0.00373986356404833	0.000959387238293425	0.00237253969332518
cdescubierto_preacordado_delta2	0.00365343528588862	0.00125990161523465	0.000198183506602342
ctrx_quarter_delta2	0.00363348287561577	0.00180944271404087	0.00167606622726552
mactivos_margen_rank_delta2	0.00351151264508749	0.00291839465167355	0.00507916015492288
foto_mes	0.00348818920059316	0.00366719670552174	0.000753097325088899
rf_010_026	0.00337860375061107	0.000689848023435221	0.000452990872233925
Visa_status	0.00336659000983953	0.00186021866020031	0.000679486308350887
rf_003_026	0.00334277443992122	0.00082209538145074	0.000447328486331
vm_mpagospesos_rank	0.00330577318559491	0.000871136355219275	0.000951280831691241
rf_011_015	0.00325888753367502	0.00102038968354623	0.00172136531448891
Visa_msaldodolares_rank_lag1	0.00317361441440712	0.000534012692108612	0.000532264274874861
mcaja_ahorro_rank_lag2	0.00314578050048552	0.0016128481961343	0.000860682657244457
vm_status01	0.00313482915920269	0.00109405151710304	0.000645511992933342
mtransferencias_emitidas_rank	0.00308446572992709	0.00129661594159569	0.000815383570021064
matm_rank	0.00304534606943423	0.000650904437950403	0.000532264274874861
mcomisiones_otras_rank_delta2	0.00303160762742055	0.00282120614884158	0.00582659509410885
mprestamos_personales_rank_tend6	0.003028314050718	0.00286666421898023	0.000690811080156735
mtarjeta_visa_consumo_rank_tend6	0.00298132671579844	0.00158293696585719	0.00163076714004213
mcomisiones_rank_delta1	0.00288152465706925	0.00300210704331382	0.0055548005707685
mcomisiones_rank_lag2	0.00285771980775471	0.00264253886613211	0.00546420239632171
Visa_mconsumospesos_rank	0.00284945990176082	0.00194736250461009	0.00349935448800707
rf_002_021	0.00282404677241567	0.000750160313200463	0.0010588661638468
mcuentas_saldo_rank_delta2	0.00277683681166723	0.00221039300337216	0.00222531765984915
mrentabilidad_annual_rank_delta2	0.00276273102388921	0.00311185616100952	0.00626259880863401
vm_msaldopesos_rank	0.00275094305289721	0.00112189988492535	0.00142125886163394
mprestamos_personales_rank_lag1	0.00274671205453593	0.00242920270896043	0.000645511992933342
rf_002_015	0.00270556601543493	0.00096069219092839	0.0012004258114199
rf_018_026	0.00259391146094753	0.00105572500996799	0.00174967724400353
rf_006_021	0.0025829652051862	0.00203602586578062	0.0051301216280492
mttarjeta_visa_debitos_automaticos_rank_delta2	0.00256197808863915	0.00138596704594783	0.00118343865371113
mcuentas_saldo_rank_delta1	0.00255386803992707	0.00255067062540617	0.00232724060610179
vmr_mpagospesos_tend6	0.00254224400882226	0.00153592765189043	0.00131933591538131
Visa_msaldopesos_rank	0.00251856133610864	0.00207920283843833	0.00287649203868542
mcomisiones_rank_delta2	0.00249178270239228	0.00290845398461429	0.00582093270820593
cdescubierto_preacordado_tend6	0.00248409503512438	0.00223148804203108	0.000277456909243279
mpasivos_margen_rank_lag2	0.00247805439648741	0.00190953909436877	0.00344839301488075
mrentabilidad_rank_delta1	0.00243113594994312	0.00186035922946321	0.00371452515231818
Visa_cconsumos_tend6	0.00236602671435677	0.0024507142374854	0.00336345722633689
rf_017_021	0.0023286137793308	0.00111078673229253	0.00144957079114856
Visa_delinquency_lag2	0.00230012869198531	0.00109668323800937	0.000554913818486558
ctrx_quarter_normalizado_lag2	0.00228035893434721	0.00182866228970813	0.00194219836470295
mactivos_margen_rank_lag2	0.00226625456890287	0.00326310915986372	0.00453557110824217
mactivos_margen_rank	0.0022654212255993	0.00300651411651497	0.00191388643518833
ctrx_quarter_tend6	0.00222751093770041	0.00176025346211868	0.00138728454621639
mtarjeta_visa_consumo_rank_lag2	0.00215924495492338	0.00132559426498887	0.00193653597880003
mtransferencias_recibidas_rank_lag1	0.00211379810311869	0.00146585317948537	0.0012230753550316
rf_019_018	0.00210060687115895	0.00107891353687896	0.00128536159996376
mcuenta_corriente_rank_lag1	0.00209046198704693	0.00230015065993868	0.00133632307309008
mprestamos_personales_rank_lag2	0.00207386316512747	0.00245875660330864	0.000860682657244457
mrentabilidad_annual_rank_delta1	0.00203011791525163	0.00207561524130013	0.00386174718579421
mpayroll_sobre_edad_rank_tend6	0.00202130274374955	0.00106009623944923	0.000424678942719304
mpasivos_margen_rank_delta1	0.00200604040836833	0.00265055073726169	0.00403728114878485
mpasivos_margen_rank_delta2	0.00198660449235074	0.00238177585629894	0.0051074720844375
rf_014_023	0.00198214961834645	0.00129753539725189	0.00174967724400353
ccaja_ahorro_tend6	0.00198181064908914	0.00256494371528576	0.000232157822019886
Master_mlimitecompra_rank_delta2	0.00197764007378183	0.00198356327201139	0.00426943897080474
mrentabilidad_rank_lag2	0.00197656919949315	0.00279446104390042	0.00495458766505855
mrentabilidad_rank_delta2	0.00193789215917921	0.00336055986986394	0.00571334737605037
rf_010_023	0.00193742146469558	0.00161425071605657	0.00475640415845621
mcomisiones_rank	0.001936299919352	0.00217099831667508	0.00330683336730765
Master_mfinanciacion_limite_rank_delta2	0.00193392223019094	0.00223156166980392	0.00446196009150416
mextraccion_autoservicio_rank_lag2	0.00192606857376967	0.00149025097963561	0.00184593780435324
Visa_mconsumototal_rank	0.00192076993243366	0.00214099064660148	0.00432040044393106
mrentabilidad_annual_rank_lag2	0.00191441400240554	0.00282402461369314	0.00426377658490181
mcomisiones_mantenimiento_rank_tend6	0.00191033023773113	0.00262228275930802	0.001341985458993
mcomisiones_otras_rank_tend6	0.00189864650138901	0.00211490265904468	0.00264433421666553
mcuenta_corriente_rank_delta2	0.00189084970847255	0.00138858201181611	0.00083803311363276
mcomisiones_otras_rank_lag1	0.00188783978531879	0.00223236821905347	0.00349369210210414
rf_005_021	0.00186503661448857	0.00124644663794072	0.000537926660777785
Visa_mpagominimo_rank_lag1	0.00184415930360198	0.00162791789761177	0.00276890670652986
matm_rank_lag1	0.00181704200227245	0.00113649389015817	0.000566238590292406
vm_mpagospesos_rank_tend6	0.00181453902043137	0.00168489942216011	0.00145523317705148
vm_status04	0.0018129606722857	0.000462828060773878	0.000549251432583634
Visa_mlimitecompra_rank_lag1	0.00180581038461794	0.00136067118624632	0.00251409934089828
chomebanking_transacciones_lag2	0.00179385796153437	0.0021212174991606	0.00361260220606555
mpayroll_rank_delta1	0.00179030436943565	0.00114973372647054	0.000345405540078367
Master_mfinanciacion_limite_rank	0.00177603316398451	0.0024661449195714	0.00413354170913456
mactivos_margen_rank_delta1	0.00175407723419283	0.00274755739942247	0.00413920409503749
rf_015_025	0.00174704223000537	0.00139549769965809	0.00378813616905619
Visa_msaldopesos_rank_delta2	0.0017336493752923	0.00165043876641021	0.00305202600167607
Visa_mconsumototal_rank_delta1	0.00171439670279412	0.00235863282233166	0.00455255826595094
Visa_mconsumototal_rank_tend6	0.00171294142551757	0.00210071287238244	0.00403728114878485
Visa_fultimo_cierre_tend6	0.00170648737971028	0.00186282982406464	0.00177232678761523
mcomisiones_otras_rank_delta1	0.00170035639986257	0.00176049369632624	0.00319924803515209
internet_tend6	0.00168819604364739	0.00291510465967132	0.000509614731263165
mcomisiones_otras_rank_lag2	0.00167584116403466	0.00195794434685787	0.0039070462730176
vmr_mpagominimo_delta1	0.00165673555613941	0.00122408954373957	0.00142125886163394
mcaja_ahorro_dolares_rank	0.00165634150263368	0.0014085738138146	0.000753097325088899
Visa_mpagospesos_rank	0.00165582115899322	0.00165174080854561	0.00320491042105502
ccomisiones_otras_delta2	0.0016426695892496	0.000924666053501147	0.00157414328101289
rf_012_013	0.00164143470868648	0.00101803564003108	0.000668161536545039
Master_mlimitecompra_rank_tend6	0.00163483062751133	0.00237535962067106	0.00433738760163983
rf_006_015	0.00162082797864732	0.00144945566090787	0.00194786075060588
Master_fechaalta	0.00161091758671144	0.0022853614414691	0.00380512332676497
Master_fechaalta_lag1	0.0016084271902778	0.00243975465959103	0.00364091413558017
vmr_mpagominimo	0.00160720068464736	0.00104693577324669	0.00154583135149827
mrentabilidad_rank	0.00160343864139108	0.00209477707894894	0.00248578741138366
mrentabilidad_rank_tend6	0.0016033179070799	0.00259463857220763	0.00199882222373219
