Feature	Gain	Cover	Frequency
rf_013_015	0.0398748132973612	0.00208599378760601	0.000356352981769434
active_quarter	0.037729715069186	0.00272357085584023	0.000316758206017275
ctrx_quarter_normalizado_lag1	0.0226704757294273	0.00117013012046748	0.000780582721971141
vm_status01_tend6	0.0223381034837597	0.00155262625906931	0.000746644342755005
mpasivos_margen_rank	0.019466448146722	0.00195546606994941	0.00160076021969444
Master_status	0.0160433226900917	0.00134113387817713	0.00135753516864546
mcaja_ahorro_rank	0.0157991958172742	0.00110952260778099	0.000418573343665684
rf_011_015	0.0135488122023832	0.000823443496741271	0.00129531480674921
mautoservicio_rank_lag1	0.0120244703294379	0.00107800488634892	0.000774926325435118
vm_msaldototal_rank_lag1	0.0109662994274185	0.000816528171952944	0.000933305428443756
mcuentas_saldo_rank	0.0105585975229662	0.00252028541194124	0.000933305428443756
rf_009_023	0.00958180201794419	0.00166759902920359	0.000831490290795346
ctarjeta_visa_transacciones	0.00880058287962135	0.00144698091268729	0.000475137309025912
rf_002_015	0.0080879896034468	0.00151819523625797	0.00163469859891058
vm_status05_delta2	0.00761436180063948	0.000794422145434977	0.000237568654512956
ctrx_quarter_delta1	0.00700562011901556	0.00130060139306971	0.00075795713582705
vm_status01	0.00687592861630407	0.00125358839167847	0.000803208308115232
mautoservicio_rank	0.00665045074281882	0.0016775002896958	0.00085977227347546
ctrx_quarter_normalizado_delta2	0.00647283028584553	0.00141600863922744	0.00182701608113535
Visa_mfinanciacion_limite_rank_delta1	0.00644472596057852	0.00306677949746421	0.00432714335005741
mcaja_ahorro_rank_lag2	0.00620053902081504	0.00112491377001639	0.000893710652691596
ctarjeta_master_delta2	0.00612939527130928	0.000214289006993657	5.65639653602276e-05
rf_002_020	0.0056942259950776	0.00105860553701706	0.000214943068368865
Visa_Finiciomora_tend6	0.00567336942566362	0.00233698108250864	0.00042988613673773
cdescubierto_preacordado	0.00535594969594651	0.00402296874418687	0.000339383792161366
rf_019_016	0.00515427869588789	0.000680415386242631	0.00075795713582705
rf_005_019	0.00477122894061863	0.000667327320333319	0.00128965841021319
mpayroll_rank_delta1	0.00465441085719332	0.00141423950748916	0.00032807099908932
rf_001_025	0.0044201640580792	0.0015842501954134	0.00309970530174047
Visa_cconsumos_lag1	0.00440599296495355	0.00140529661087443	0.00266981916500274
rf_003_026	0.00432854198001814	0.000372013956965475	0.000316758206017275
vmr_mpagospesos_lag1	0.00430018789334391	0.00114261495952927	0.00145935030629387
mtarjeta_visa_consumo_rank_lag1	0.00412396782169196	0.0010315272050452	0.00105208975570023
rf_015_014	0.00408330847021839	0.000620584293565548	0.000746644342755005
rf_019_024	0.00393568831430257	0.000701625734351299	0.000740987946218982
mprestamos_personales_rank_delta1	0.0038612744875551	0.00307779017053854	0.000644829205106595
rf_012_020	0.00376410021457447	0.00130755423706726	0.000458168119417844
rf_012_013	0.00367363276265808	0.000784491626609189	0.000746644342755005
rf_020_017	0.00351849928645105	0.000618573627122446	0.00109734092798842
rf_013_026	0.00349917592633907	0.000860664751787489	0.000927649031907733
mpagomiscuentas_rank	0.00347941017711878	0.000898765214642636	0.000526044877850117
mpayroll_sobre_edad_rank_lag2	0.00344980989716404	0.00100062892140968	0.000311101809481252
Visa_mfinanciacion_limite_rank	0.00343803653296644	0.00209034990334758	0.00301485935370013
rf_011_027	0.00342023040890269	0.00132994857581812	0.00251144006199411
mcomisiones_rank_tend6	0.00339800249036952	0.00202797448654519	0.00286779304376354
rf_018_025	0.00324723398440808	0.00173079150543152	0.00414613866090468
mrentabilidad_annual_rank_delta2	0.0031646520698674	0.00293650152423715	0.00645960484413799
mtransferencias_emitidas_rank_lag2	0.00315803493185779	0.00169502562230162	0.0014423811166858
mcomisiones_rank_lag2	0.00309550206611509	0.00231363712668982	0.00433845614312946
mcuentas_saldo_rank_delta2	0.00308812735519161	0.0022860923493615	0.00238699933820161
Visa_mpagospesos_rank_tend6	0.00299887567307534	0.00175098507529742	0.00294698259526786
Visa_mconsumototal_rank_lag2	0.00295396125936767	0.00165504999182443	0.00343908909390184
mactivos_margen_rank	0.00295363134061262	0.00295443215125923	0.00169126256427081
vmr_msaldopesos	0.00292785041163241	0.000975218135423511	0.00149894508204603
mcuenta_debitos_automaticos_rank	0.00282654317286516	0.00202281054412146	0.000678767584322731
mprestamos_personales_rank_lag2	0.00279985015987554	0.00206601937391182	0.000616547222426481
mprestamos_personales_rank_delta2	0.0027978041556355	0.00495285894339932	0.000825833894259323
mcaja_ahorro_rank_lag1	0.00274631915462322	0.00155277416199158	0.00103512056609217
rf_017_015	0.00270452205696593	0.00112915645856441	0.00190620563263967
rf_007_021	0.00270381451194144	0.000837582791046614	0.0021381178906166
mcomisiones_otras_rank_delta2	0.00261694398345483	0.00195891085509624	0.00390291360985571
vm_status03_delta2	0.00258505926316246	0.00130079758247257	0.000152722706472615
mprestamos_personales_rank	0.00257495130356032	0.00283851608119718	0.000475137309025912
mprestamos_personales_rank_tend6	0.00257337104506407	0.00234042822059838	0.000480793705561935
Visa_cconsumos_tend6	0.00247950505913286	0.00234133047190255	0.00332596116318138
mcomisiones_otras_rank_lag2	0.00241118094686408	0.00229647378923564	0.00458733759071446
cpayroll_trx_lag2	0.00236582026185131	0.000230980835149025	6.22203618962504e-05
mpayroll_rank_lag1	0.00234788258827272	0.000953026124187458	0.00032807099908932
thomebanking	0.00233916074743933	0.00155591674742725	0.00239265573473763
mcuenta_corriente_rank_lag2	0.00230361800873097	0.00206972331525982	0.00169126256427081
mcuenta_corriente_rank_delta2	0.00229774403630039	0.00209036744811754	0.0011934996691008
ccaja_ahorro_tend6	0.00227783284186387	0.00326425294219598	0.000333727395625343
cprestamos_personales_tend6	0.00227127015238912	0.00306463489230349	0.000373322171377502
Visa_msaldototal_rank	0.00226239500696613	0.00191488317559768	0.00261891159617854
mtransferencias_recibidas_rank	0.00217799998355205	0.00174417668153417	0.000899367049227619
mrentabilidad_rank_lag1	0.00217156439525299	0.00234741784211664	0.00343908909390184
mrentabilidad_annual_rank	0.00212015254153763	0.00260166488366659	0.00253972204467422
Visa_mpagominimo_rank	0.00211117276659395	0.00180249961453226	0.00231912257976933
mcomisiones_otras_rank_tend6	0.00207773489497735	0.00178123463722733	0.0024605324931699
vm_msaldopesos_rank_lag2	0.00204543769587324	0.000885342826236355	0.00109168453145239
Master_fechaalta_lag2	0.00202849781415438	0.00284906429868781	0.0043497689362015
mactivos_margen_rank_delta2	0.00202359825276522	0.00333290061425918	0.00476834227986719
mrentabilidad_annual_rank_delta1	0.00200150556972931	0.0023673682915988	0.00413482586783264
mrentabilidad_annual_rank_lag2	0.00199697893536097	0.00232562585675078	0.00368797054148684
Visa_mconsumospesos_rank	0.00197628776898102	0.00224233589768427	0.00396513397175196
vmr_msaldopesos_lag1	0.0019693708436136	0.000845647835352135	0.00110865372106046
rf_007_020	0.00195268812669374	0.000684514417395802	0.000305445412945229
matm_rank_lag1	0.00190909116819819	0.000586225009937502	0.000367665774841479
mrentabilidad_rank_lag2	0.0019011910682767	0.00214542876745927	0.00364271936919866
mtarjeta_visa_consumo_rank_lag2	0.00188179676108834	0.00157254857553841	0.00227952780401717
ctrx_quarter_normalizado_tend6	0.00185515805016331	0.00133776149717573	0.00130662759982126
mactivos_margen_rank_tend6	0.00185195822842044	0.00205382747234567	0.00230215339016126
mpasivos_margen_rank_delta1	0.00184828305340986	0.00214850009964551	0.00396513397175196
rf_006_016	0.00183477945986856	0.00104704327785856	0.000254537844121024
mactivos_margen_rank_lag2	0.00181386148975267	0.00316393790664673	0.00415745145397673
internet_lag1	0.00181097072419936	0.00101338568272706	0.000158379103008637
chomebanking_transacciones	0.0018009064940679	0.00256311066088632	0.00342777630082979
internet_tend6	0.00179842663474418	0.00202130821564881	0.000401604154057616
mactivos_margen_rank_delta1	0.00179797937781451	0.00271101322510435	0.00402735433364821
mcomisiones_otras_rank_delta1	0.00179643086194872	0.00272433835001186	0.00461561957339457
Visa_mpagominimo_rank_lag1	0.00178658132177483	0.00150825512663227	0.00220033825251285
mrentabilidad_rank_delta1	0.00177497141131868	0.00215224465483418	0.00388028802371161
Visa_mconsumototal_rank_lag1	0.00176296932108737	0.00169288134962196	0.0038520060410315
mrentabilidad_rank_delta2	0.00175696405412418	0.00280374513486173	0.00441198929809775
ctrx_quarter_lag2	0.00173892089564373	0.0021634493689722	0.00259062961349842
Master_fechaalta	0.00172772826160396	0.00212997584047248	0.00316192566363672
mrentabilidad_annual_rank_lag1	0.00171774122189627	0.00208860918595248	0.00242659411395377
Visa_mconsumototal_rank_delta1	0.00171015145527306	0.00159359304117192	0.00363706297266264
mcuentas_saldo_rank_tend6	0.00170147929598178	0.0024084580661194	0.00170257535734285
mpasivos_margen_rank_delta2	0.00169817489461071	0.00237616556150777	0.00480793705561935
Visa_msaldototal_rank_delta1	0.00168603721667607	0.00264393698642406	0.00321283323246093
rf_016_021	0.00166995553537939	0.00130919825362385	0.00191751842571172
tcallcenter_delta2	0.00165972685410629	0.00127101789301162	0.00104643335916421
vm_fechaalta_lag1	0.00165924827605248	0.00203651001713087	0.0029073878195157
Visa_mlimitecompra_rank_delta1	0.00165299099704563	0.00254150212834104	0.00388594442024764
vmr_mpagominimo_lag2	0.00165156752234656	0.00112279231065278	0.00128965841021319
Master_mfinanciacion_limite_rank_lag1	0.00164501172711249	0.00204286968933588	0.00401038514404014
mpayroll_rank	0.00162937933886997	0.00170102631726003	0.000390291360985571
chomebanking_transacciones_lag2	0.00162447741458316	0.00181411391976491	0.00339383792161366
mcomisiones_rank_delta1	0.00161528474739923	0.0023816274069643	0.00382372405835139
Master_mlimitecompra_rank_delta1	0.00160645864814198	0.00207744089127864	0.00447986605653003
mcomisiones_rank_lag1	0.00160442011772282	0.00202915269713197	0.00313364368095661
mactivos_margen_rank_lag1	0.00160079940971864	0.0028880656573474	0.00207589752872035
Visa_mconsumospesos_rank_delta2	0.00159793848311937	0.00161638518072738	0.00301485935370013
mcomisiones_rank	0.00158315258383805	0.00183356866555703	0.00280557268186729
vm_Finiciomora_lag1	0.0015765451705799	0.0019390251115441	0.000418573343665684
mcuenta_corriente_rank_lag1	0.00156494568266568	0.00263434350109468	0.00130662759982126
mtransferencias_emitidas_rank	0.00155267003148624	0.00174097051548899	0.000786239118507164
mcuenta_corriente_rank_tend6	0.00153699565008062	0.00292836072540011	0.00149894508204603
mcuenta_corriente_rank	0.0015315218137085	0.00250867279468937	0.00127834561714114
rf_010_023	0.00151684024006235	0.001374760731598	0.00380675486874332
rf_020_027	0.00151025946514874	0.00121571731518159	0.00134622237557342
rf_011_018	0.00150949185534838	0.000471863416724122	0.000192317482224774
Visa_mconsumosdolares_rank_lag2	0.00150198079511531	0.00240921502319886	0.00376716009299116
Visa_mconsumototal_rank	0.00149595019339	0.00196305277630658	0.00376716009299116
vm_mpagominimo_rank	0.00148943284057468	0.00140011463774687	0.0017647957192391
Visa_mconsumospesos_rank_lag2	0.00148455702489581	0.00188766755452211	0.00304314133638025
chomebanking_transacciones_delta2	0.00148170540392109	0.00234249070293644	0.00281688547493934
vm_fechaalta_lag2	0.00147862972937181	0.00159715877269941	0.00212680509754456
Visa_fechaalta_lag1	0.00146808083333081	0.00159223055934962	0.00246618888970592
ccaja_seguridad_lag1	0.00146554501701453	0.0015592980031155	0.000158379103008637
mcomisiones_mantenimiento_rank	0.00145932643091282	0.00177986164388834	0.00126137642753308
Master_fechaalta_lag1	0.00145437881718631	0.00242219209158394	0.00331464837010934
vm_Finiciomora_tend6	0.00144472798974526	0.00148156822717389	0.000378978567913525
mpayroll_sobre_edad_rank	0.00144207202287409	0.00141706644051834	0.000305445412945229
Master_mlimitecompra_rank_lag2	0.00144105412941488	0.00160260806060193	0.00341646350775775
chomebanking_transacciones_delta1	0.00143966580086447	0.00209568034205767	0.00222296383865695
Visa_mpagospesos_rank_lag2	0.00143710323655259	0.0019426991295964	0.00369928333455889
Visa_msaldopesos_rank_delta1	0.00143656736069583	0.00144709927594586	0.00259062961349842
Master_msaldopesos_rank_lag1	0.00143335069561056	0.00127058998988304	0.00237003014859354
rf_003_015	0.00142022537702235	0.00068882631315594	0.00110865372106046
rf_006_021	0.00141621260535979	0.00150986236566816	0.00371625252416695
Master_mlimitecompra_rank_lag1	0.00140987347089345	0.00158189206068359	0.00345605828350991
Master_Fvencimiento_lag1	0.00140166028147207	0.00175225487162943	0.00332030476664536
Master_mfinanciacion_limite_rank_delta2	0.00139444871148512	0.00232650726404982	0.00395947757521593
thomebanking_lag2	0.00139027021953228	0.001592374958433	0.00367665774841479
Visa_mpagospesos_rank_delta1	0.00138463942242962	0.00196807459586345	0.00413482586783264
vm_status04_delta2	0.00137608498684277	0.00032935159816599	0.000147066309936592
Master_mpagospesos_rank	0.00137528957946192	0.00124021789589354	0.00130097120328524
rf_006_022	0.00137405275949692	0.000665814224589309	0.00049210649863398
Master_mfinanciacion_limite_rank	0.00137068902048695	0.00196146753217182	0.00313364368095661
rf_005_020	0.00136844782580066	0.00142658565469325	0.00243225051048979
mpayroll_sobre_edad_rank_delta1	0.00136160145656554	0.0009256672549245	0.000294132619873184
mcomisiones_rank_delta2	0.0013587992663236	0.00197085549305309	0.00415745145397673
Visa_mconsumototal_rank_delta2	0.00135205106754741	0.00171760934738127	0.00363140657612661
vmr_Master_mlimitecompra	0.00134549498107255	0.00144612722919385	0.00218336906290479
Master_mlimitecompra_rank	0.00133538386701297	0.0017400128421491	0.00324111521514104
Master_mfinanciacion_limite_rank_delta1	0.00133088344333782	0.00215342588332599	0.00445158407384991
vm_fechaalta	0.00133030553893794	0.00166994967032174	0.00231912257976933
