envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	93000	117000	117000	-3000	117000	117000	
2	90000	114000	114000	-6000	114000	114000	
3	159000	111000	111000	111000	231000	231000	
4	204000	108000	228000	228000	228000	228000	
5	249000	225000	345000	225000	225000	225000	
6	246000	222000	342000	222000	222000	222000	
7	267000	219000	339000	219000	339000	219000	
8	288000	216000	336000	336000	336000	216000	
9	333000	213000	453000	333000	333000	333000	
10	330000	210000	450000	330000	330000	330000	
11	327000	207000	447000	327000	327000	327000	
12	324000	204000	444000	324000	324000	324000	
13	345000	321000	441000	321000	321000	321000	
14	342000	318000	438000	318000	318000	318000	
15	339000	315000	435000	315000	315000	315000	
16	336000	312000	432000	312000	312000	312000	
17	333000	309000	429000	309000	309000	309000	
18	330000	306000	426000	306000	306000	306000	
19	327000	303000	423000	303000	303000	303000	
20	324000	3e+05	420000	3e+05	3e+05	3e+05	
21	345000	297000	417000	417000	297000	297000	
22	342000	294000	414000	414000	294000	294000	
23	339000	291000	411000	411000	291000	291000	
24	384000	288000	528000	408000	288000	408000	
25	381000	285000	525000	405000	285000	405000	
26	402000	282000	522000	402000	402000	402000	
27	399000	279000	519000	399000	399000	399000	
28	396000	276000	516000	396000	396000	396000	
29	393000	273000	513000	393000	393000	393000	
30	390000	270000	510000	390000	390000	390000	
31	387000	267000	507000	387000	387000	387000	
32	384000	264000	504000	384000	384000	384000	
33	429000	261000	501000	381000	501000	501000	
34	426000	258000	498000	378000	498000	498000	
35	423000	255000	495000	375000	495000	495000	
36	444000	252000	492000	372000	492000	612000	
37	441000	249000	489000	369000	489000	609000	
38	438000	246000	486000	366000	486000	606000	
39	435000	243000	483000	363000	483000	603000	
40	456000	240000	6e+05	360000	480000	6e+05	
41	453000	237000	597000	357000	477000	597000	
42	474000	234000	594000	474000	474000	594000	
43	471000	231000	591000	471000	471000	591000	
44	468000	228000	588000	468000	468000	588000	
45	489000	345000	585000	465000	465000	585000	
46	486000	342000	582000	462000	462000	582000	
47	483000	339000	579000	459000	459000	579000	
48	480000	336000	576000	456000	456000	576000	
49	477000	333000	573000	453000	453000	573000	
50	474000	330000	570000	450000	450000	570000	
51	471000	327000	567000	447000	447000	567000	
52	468000	324000	564000	444000	444000	564000	
53	465000	321000	561000	441000	441000	561000	
54	486000	318000	558000	558000	438000	558000	
55	483000	315000	555000	555000	435000	555000	
56	480000	312000	552000	552000	432000	552000	
57	477000	309000	549000	549000	429000	549000	
58	474000	306000	546000	546000	426000	546000	
59	495000	423000	543000	543000	423000	543000	
60	492000	420000	540000	540000	420000	540000	
